period,n,pearson_r,pearson_p,spearman_rho,spearman_p
2016-07-26–2019-12-31,829,-0.2757362766766206,6.249517331733215e-16,-0.22503883477550435,5.606591220968256e-11
2020-01-01–2022-12-31,722,-0.2854743266058193,5.25134177538424e-15,-0.22206304221581233,1.6196506718921113e-09
2023-01-01–2026-07-23,854,-0.12609451486353784,0.00022053456439443054,-0.1325930386878215,0.00010178405171063045
