date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2019-01-02,8.28,32146041981.6,3882372220,14.99846113,15.92376745
2019-01-03,7.94,30826035426.8,3882372220,14.38258229,15.26989294
2019-01-04,8.08,31369567537.6,3882372220,14.63617946,15.53913539
2019-01-07,8.5,33000163870.0,3882372220,15.39697097,16.34686272
2019-01-08,8.48,32922516425.6,3882372220,15.3607428,16.30839951
2019-01-09,8.31,32262513148.2,3882372220,15.05280338,15.98146226
2019-01-10,8.92,34630760202.4,3882372220,16.15776248,17.15459005
2019-01-11,8.75,33970756925.0,3882372220,15.84982306,16.8276528
2019-01-14,8.75,33970756925.0,3882372220,15.84982306,16.8276528
2019-01-15,9.1,35329587202.0,3882372220,16.48381598,17.50075891
2019-01-16,9.17,35601353257.4,3882372220,16.61061456,17.63538013
2019-01-17,9.26,35950766757.2,3882372220,16.77364131,17.80846456
2019-01-18,9.74,37814305422.8,3882372220,17.64311732,18.73158152
2019-01-21,9.58,37193125867.6,3882372220,17.35329199,18.42387587
2019-01-22,9.31,36144885368.2,3882372220,16.86421173,17.90462258
2019-01-23,9.41,36533122590.2,3882372220,17.04535257,18.09693861
2019-01-24,10.1,39211959422.0,3882372220,18.29522433,19.42391923
2019-01-25,10.12,39289606866.4,3882372220,18.33145249,19.46238244
2019-01-28,10.05,39017840811.0,3882372220,18.20465391,19.32776122
2019-01-29,10.1,39211959422.0,3882372220,18.29522433,19.42391923
2019-01-30,10.26,39833138977.2,3882372220,18.58504966,19.73162488
2019-01-31,10.26,39833138977.2,3882372220,18.58504966,19.73162488
2019-02-01,10.75,41735501365.0,3882372220,19.47263975,20.67397344
2019-02-11,10.98,42628446975.6,3882372220,19.88926367,21.11630031
2019-02-12,10.87,42201386031.4,3882372220,19.69000876,20.90475268
2019-02-13,10.95,42511975809.0,3882372220,19.83492142,21.0586055
2019-02-14,11.28,43793158641.6,3882372220,20.43268618,21.69324841
2019-02-15,11.49,44608456807.8,3882372220,20.81308193,22.09711208
2019-02-18,12.27,47636707139.4,3882372220,22.22598045,23.59717713
2019-02-19,12.24,47520235972.8,3882372220,22.17163819,23.53948232
2019-02-20,12.49,48490829027.8,3882372220,22.62449028,24.0202724
2019-02-21,12.68,49228479749.6,3882372220,22.96865787,24.38567286
2019-02-22,13.29,51596726803.8,3882372220,24.07361696,25.55880065
2019-02-25,13.4,52023787748.0,3882372220,24.27287188,25.77034829
2019-02-26,13.05,50664957471.0,3882372220,23.63887896,25.09724218
2019-02-27,11.75,45617873585.0,3882372220,21.2840481,22.59713376
2019-02-28,11.9,46200229418.0,3882372220,21.55575936,22.88560781
2019-03-01,12.0,46588466640.0,3882372220,21.73690019,23.07792384
2019-03-04,11.93,46316700584.6,3882372220,21.61010161,22.94330262
2019-03-05,11.99,46549642917.8,3882372220,21.71878611,23.05869224
2019-03-06,11.83,45928463362.6,3882372220,21.42896077,22.75098659
2019-03-07,11.48,44569633085.6,3882372220,20.79496785,22.07788047
2019-03-08,11.34,44026100974.8,3882372220,20.54137068,21.80863803
2019-03-11,12.47,48413181583.4,3882372220,22.58826212,23.98180919
2019-03-12,12.61,48956713694.2,3882372220,22.84185928,24.25105164
2019-03-13,12.63,49034361138.6,3882372220,22.87808745,24.28951484
2019-03-14,12.49,48490829027.8,3882372220,22.62449028,24.0202724
