report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-04-13,2019-04-29,74229811.05,70974905.43,684106994.52,,,
2018-06-30,2018二季度,2018-07-31,2019-08-16,84543673.05,77116985.02,1199521768.78,,,
2018-09-30,2018三季度,2018-10-29,2019-10-26,219982099.8,161841333.18,1125346065.92,,,
2018-12-31,2018四季度,2019-04-29,2020-04-20,191951441.35,186238757.22,1342215730.41,570707025.25,496171980.85,4351190559.63
2019-03-31,2019一季度,2019-04-29,2020-04-25,200279267.38,195507503.83,1097919522.96,696756481.5799999,620704579.25,4765003088.07
2019-06-30,2019二季度,2019-08-16,2020-08-25,300226536.83,295137000.6,1431794963.99,912439345.36,838724594.83,4997276283.280001
2019-09-30,2019三季度,2019-10-26,2020-10-29,658260918.32,643263020.87,2047475093.22,1350718163.88,1320146282.52,5919405310.58
2019-12-31,2019四季度,2020-04-20,2021-04-20,363241343.38,357350527.4,1834451972.06,1522008065.91,1491258052.7,6411641552.2300005
2020-03-31,2020一季度,2020-04-25,2021-04-23,252459523.53,213036628.39,1308721332.76,1574188322.06,1508787177.2599998,6622443362.030001
2020-06-30,2020二季度,2020-08-25,2021-08-27,110778125.67,57167237.96,1867229499.76,1384739910.9,1270817414.62,7057877897.799999
2020-09-30,2020三季度,2020-10-29,2021-10-28,582940747.09,575352446.08,2163742272.1,1309419739.67,1202906839.83,7174145076.68
2020-12-31,2020四季度,2021-04-20,2022-04-26,705856043.12,680058527.3,2822113059.7,1652034439.41,1525614839.73,8161806164.32
2021-03-31,2021一季度,2021-04-23,2022-04-28,646839235.6,614498444.98,2957502885.88,2046414151.48,1927076656.32,9810587717.44
2021-06-30,2021二季度,2021-08-27,2022-08-26,847863260.65,810813769.27,3602256800.71,2783499286.46,2680723187.63,11545615018.39
2021-09-30,2021三季度,2021-10-28,2022-10-27,721102430.62,704731546.79,4887984581.68,2921660969.99,2810102288.34,14269857327.97
2021-12-31,2021四季度,2022-04-26,2023-04-18,689987976.81,417071563.36,5452059818.11,2905792903.68,2547115324.4,16899804086.38
2022-03-31,2022一季度,2022-04-28,2023-04-26,521169247.21,434916889.99,6733932863.07,2780122915.29,2367533769.41,20676234063.57
2022-06-30,2022二季度,2022-08-26,2023-08-25,837885194.17,759147492.36,8192402059.99,2770144848.81,2315867492.5,25266379322.85
2022-09-30,2022三季度,2022-10-27,2023-10-26,1306490573.7,982661789.03,9356996256.05,3355532991.8900003,2593797734.74,29735390997.219997
2022-12-31,2022四季度,2023-04-18,2024-04-19,843418812.32,518300958.59,12020616629.42,3508963827.4,2695027129.97,36303947808.53
2023-03-31,2023一季度,2023-04-26,2024-04-25,1139709769.51,611760661.23,11185548136.17,4127504349.7,2871870901.21,40755563081.63
2023-06-30,2023二季度,2023-08-25,2024-09-03,1011214264.93,644652614.21,11790174772.87,4300833420.46,2757376023.06,44353335794.51
2023-09-30,2023三季度,2023-10-26,2024-10-25,1273465198.66,898777892.9,12553114575.62,4267808045.420001,2673492126.93,47549454114.08
2023-12-31,2023四季度,2024-04-19,2025-04-18,625785466.42,599823063.47,13254749691.2,4050174699.520001,2755014231.81,48783587175.86
2024-03-31,2024一季度,2024-04-25,2025-04-25,1065713845.72,701283488.21,9317321354.65,3976178775.73,2844537058.79,46915360394.34
2024-06-30,2024二季度,2024-08-23,2025-08-22,1071535843.5,797817689.03,12342077233.43,4036500354.3,2997702133.61,47467262854.9
2024-09-30,2024三季度,2024-10-25,2025-10-24,1051401360.41,1001024891.64,12389878341.28,3814436516.05,3099949132.35,47304026620.56
2024-12-31,2024四季度,2025-04-18,2026-03-28,886934234.74,661583481.27,14565279595.73,4075585284.37,3161709550.15,48614556525.09
2025-03-31,2025一季度,2025-04-25,2026-04-25,1101115915.75,817715244.48,12796142215.48,4110987354.4,3278141306.42,52093377385.92
2025-06-30,2025二季度,2025-08-22,2025-08-22,504055540.02,339249178.51,15373421827.93,3543507050.92,2819572795.8999996,55124721980.42
2025-09-30,2025三季度,2025-10-24,2025-10-24,1210517246.45,780411273.52,16831954115.53,3702622936.96,2598959177.7799997,59566797754.67
2025-12-31,2025四季度,2026-03-28,2026-03-28,1318614968.67,1158334022.29,16468112617.15,4134303670.89,3095709718.8,61469630776.09
2026-03-31,2026一季度,2026-04-25,2026-04-25,1446303779.36,1114674451.3,20679868145.38,4479491534.5,3392668925.62,69353356705.99
