report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-04-24,2019-04-30,80147000.18,19937691.44,430814748.13,,,
2018-06-30,2018二季度,2018-08-23,2019-08-24,81245604.65,13952932.42,543555961.0,,,
2018-09-30,2018三季度,2018-10-24,2019-10-23,161270218.41,122981639.38,647471615.97,,,
2018-12-31,2018四季度,2019-04-26,2020-03-17,195776632.19,161361435.25,835650500.79,518439455.43,318233698.49,2457492825.89
2019-03-31,2019一季度,2019-04-30,2020-04-27,212300533.56,179524005.55,656263395.06,650592988.81,477820012.6,2682941472.8199997
2019-06-30,2019二季度,2019-08-24,2020-08-25,176627280.54,143285816.08,721845075.46,745974664.7,607152896.26,2861230587.2799997
2019-09-30,2019三季度,2019-10-23,2020-10-28,242855661.48,230589327.6,728275387.75,827560107.77,714760584.48,2942034359.06
2019-12-31,2019四季度,2020-03-17,2021-03-18,218053950.23,199424296.62,1053177696.64,849837425.81,752823445.85,3159561554.91
2020-03-31,2020一季度,2020-04-27,2021-04-27,138230902.44,105336315.65,552861641.98,775767794.69,678635755.9499999,3056159801.83
2020-06-30,2020二季度,2020-08-25,2021-08-27,183161737.43,162151408.49,887782615.5,782302251.5799999,697501348.36,3222097341.87
2020-09-30,2020三季度,2020-10-28,2021-12-31,322104471.98,292069716.03,1140685184.4,861551062.0799999,758981736.79,3634507138.520001
2020-12-31,2020四季度,2021-03-18,2022-04-12,472106908.62,430949736.91,1701678147.23,1115604020.47,990507177.08,4283007589.11
2021-03-31,2021一季度,2021-04-27,2022-04-21,432093790.46,404953748.72,1443231634.43,1409466908.49,1290124610.15,5173377581.56
2021-06-30,2021二季度,2021-08-27,2022-08-31,618098908.97,578801911.27,1950587674.69,1844404080.03,1706775112.93,6236182640.75
2021-09-30,2021三季度,2021-10-26,2022-10-25,705230709.23,644625664.09,1945267100.88,2227530317.28,2059331060.99,7040764557.23
2021-12-31,2021四季度,2022-04-12,2023-07-22,962205389.35,938673213.11,2643340400.59,2717628798.01,2567054537.19,7982426810.59
2022-03-31,2022一季度,2022-04-21,2023-04-27,915710134.51,878373867.17,2592318997.05,3201245142.06,3040474655.6400003,9131514173.21
2022-06-30,2022二季度,2022-08-31,2023-08-24,1103989794.51,1062548124.73,3164115457.27,3687136027.6,3524220869.1,10345041955.79
2022-09-30,2022三季度,2022-10-25,2023-10-31,1206300664.98,1171005681.36,3523208079.14,4188205983.35,4050600886.37,11922982934.05
2022-12-31,2022四季度,2023-03-03,2024-04-25,774461370.37,727864449.82,3311282996.22,4000461964.37,3839792123.08,12590925529.68
2023-03-31,2023一季度,2023-04-27,2024-04-25,649239029.72,627858465.64,2568465530.97,3733990859.58,3589276721.5499997,12567072063.599998
2023-06-30,2023二季度,2023-08-24,2024-08-28,755422136.9,716050741.18,3000010371.7,3385423201.9700003,3242779337.9999995,12402966978.03
2023-09-30,2023三季度,2023-10-31,2024-10-30,748899694.2,710064403.06,3524931659.68,2928022231.19,2781838059.7,12404690558.57
2023-12-31,2023四季度,2024-04-25,2025-04-23,373127710.1,407284319.11,2948822226.95,2526688570.92,2461257928.99,12042229789.3
2024-03-31,2024一季度,2024-04-25,2025-04-30,158141200.24,149108725.8,2327574815.97,2035590741.44,1982508189.15,11801339074.3
2024-06-30,2024二季度,2024-08-28,2025-08-19,132886152.2,110398664.07,2455666764.51,1413054756.74,1376856112.04,11256995467.11
2024-09-30,2024三季度,2024-10-30,2025-10-30,152472211.35,157313641.4,2681433947.72,816627273.8900001,824105350.38,10413497755.15
2024-12-31,2024四季度,2025-04-23,2026-04-23,-999817064.88,-1030119014.72,2698980265.5,-556317501.09,-613297983.45,10163655793.7
2025-03-31,2025一季度,2025-04-30,2026-04-23,25986601.51,29195738.48,2728626155.64,-688472099.82,-733210970.77,10564707133.37
2025-06-30,2025二季度,2025-08-19,2025-08-19,-119100411.48,-123733951.02,3034254903.63,-940458663.5,-967343585.86,11143295272.49
2025-09-30,2025三季度,2025-10-30,2025-10-30,6790825.59,10173008.05,3780403628.27,-1086140049.2600002,-1114484219.21,12242264953.04
2025-12-31,2025四季度,2026-04-23,2026-04-23,228871324.29,195167634.3,4089442448.47,142548339.91,110802429.81000005,13632727136.01
2026-03-31,2026一季度,2026-04-23,2026-04-23,260308751.63,260959203.6,3907690531.54,376870490.03,342565894.93,14811791511.91
