report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2019-04-25,2019-04-25,5886521.99,5285128.87,140885677.08,,,
2018-06-30,2018二季度,2019-08-28,2019-08-28,36872031.37,35128858.38,247538195.17,,,
2018-09-30,2018三季度,2019-10-25,2019-10-25,38290039.07,,199940978.56,,,
2018-12-31,2018四季度,2019-03-06,2020-03-31,37015526.32,,243019257.73,118064118.75,,831384108.54
2019-03-31,2019一季度,2019-04-25,2020-04-22,6751474.5,7025342.39,160436119.53,118929071.26,,850934550.99
2019-06-30,2019二季度,2019-08-28,2020-08-11,24234528.9,21378304.15,251429698.54,106291568.79,,854826054.36
2019-09-30,2019三季度,2019-10-25,2020-10-21,41783700.28,47505090.2,363216105.28,109785230.0,,1018101181.08
2019-12-31,2019四季度,2020-03-31,2021-04-26,53814062.57,45383170.3,364033514.83,126583766.25,121291907.04,1139115438.18
2020-03-31,2020一季度,2020-04-22,2021-04-26,58504111.99,59503983.26,281552231.26,178336403.74,173770547.91,1260231549.91
2020-06-30,2020二季度,2020-08-11,2021-08-03,59821255.67,60122294.84,445944843.77,213923130.51,212514538.6,1454746695.14
2020-09-30,2020三季度,2020-10-21,2021-10-29,91865137.59,72618623.65,623566904.99,264004567.82,237628072.05,1715097494.85
2020-12-31,2020四季度,2021-04-26,2022-04-26,107913739.97,86857470.37,733306728.09,318104245.22,279102372.12,2084370708.11
2021-03-31,2021一季度,2021-04-26,2022-04-26,106064279.73,93256027.22,616714827.3,365664412.96,312854416.08000004,2419533304.15
2021-06-30,2021二季度,2021-08-03,2022-08-30,132076449.19,109060626.09,836807613.64,437919606.48,361792747.33,2810396074.02
2021-09-30,2021三季度,2021-10-29,2022-10-27,124880086.3,99051620.7000001,850245373.97,470934555.19,388225744.3800001,3037074543.0
2021-12-31,2021四季度,2022-04-26,2023-04-25,110812684.47,91311349.93,1008646880.01,473833499.69000006,392679623.9400002,3312414694.92
2022-03-31,2022一季度,2022-04-26,2023-04-25,164369327.24,141006734.64,1102213029.27,532138547.2000001,440430331.36000013,3797912896.89
2022-06-30,2022二季度,2022-08-30,2023-08-30,233830425.98,228239497.81,1339182386.46,633892523.99,559609203.08,4300287669.71
2022-09-30,2022三季度,2022-10-27,2023-10-26,305169822.79,344536620.07,1725246751.79,814182260.48,805094202.45,5175289047.53
2022-12-31,2022四季度,2023-04-25,2024-04-29,356363440.02,331393950.51,1722959257.3,1059733016.03,1045176803.03,5889601424.82
2023-03-31,2023一季度,2023-04-25,2024-04-29,324128022.12,312099308.85,1654306172.4,1219491710.9099998,1216269377.24,6441694567.95
2023-06-30,2023二季度,2023-08-30,2024-08-29,303060133.81,337985321.47,1596639023.17,1288721418.74,1326015200.9,6699151204.66
2023-09-30,2023三季度,2023-10-26,2024-10-30,124318078.18,125593997.6,1390440779.12,1107869674.13,1107072578.43,6364345231.990001
2023-12-31,2023四季度,2024-04-29,2025-04-29,27851198.09,10369893.0400001,1459451012.59,779357432.2,786048520.9600002,6100836987.280001
2024-03-31,2024一季度,2024-04-29,2025-04-29,20286204.8,13616304.81,1396839830.94,475515614.88,487565516.92000014,5843370645.82
2024-06-30,2024二季度,2024-08-29,2025-08-15,331946361.95,305821797.35,1958147185.97,504401843.02,455401992.80000013,6204878808.62
2024-09-30,2024三季度,2024-10-30,2025-10-15,316642555.54,310639899.41,1806522149.59,696726320.38,640447894.6100001,6620960179.09
2024-12-31,2024四季度,2025-04-29,2026-04-27,22282598.11,7097740.66000009,1380695036.01,691157720.4,637175742.2300003,6542204202.509999
2025-03-31,2025一季度,2025-04-29,2026-04-27,194703647.78,153099450.01,1517642435.9,865575163.38,776658887.4300001,6663006807.47
2025-06-30,2025二季度,2025-08-15,2025-08-15,407457172.09,395687380.4,2276428343.66,941085973.52,866524470.48,6981287965.16
2025-09-30,2025三季度,2025-10-15,2025-10-15,263299995.12,253426999.44,1868536863.97,887743413.1,809311570.51,7043302679.54
2025-12-31,2025四季度,2026-04-27,2026-04-27,-122247521.86,-114604567.18,1289036095.42,743213293.13,687609262.6699998,6951643738.950001
2026-03-31,2026一季度,2026-04-27,2026-04-27,61164410.2,49011526.29,1418791121.12,609674055.55,583521338.9499999,6852792424.17
