date,open,high,low,close,vol,amount
2019-01-02,2.55,2.62,2.32,2.41,252629,221068322.0
2019-01-03,2.43,2.49,2.26,2.27,203742,175576198.0
2019-01-04,2.2,2.5,2.16,2.43,230399,199774392.0
2019-01-07,2.48,2.84,2.43,2.69,297639,269539744.0
2019-01-08,2.63,2.73,2.52,2.62,169657,152493956.0
2019-01-09,2.64,2.78,2.44,2.56,268205,241102005.0
2019-01-10,2.75,3.17,2.75,3.03,496044,469222976.0
2019-01-11,2.95,3.04,2.8,3.0,299925,281586912.0
2019-01-14,3.0,3.0,2.79,2.82,237107,221554322.0
2019-01-15,2.82,3.36,2.77,3.25,434224,420237792.0
2019-01-16,3.25,3.33,3.16,3.26,231687,227828142.0
2019-01-17,3.27,3.53,2.96,3.04,421188,414480464.0
2019-01-18,3.13,3.61,2.89,3.5,488877,485296624.0
2019-01-21,3.5,3.83,3.36,3.63,425760,439365648.0
2019-01-22,3.57,3.68,3.48,3.58,225399,231639447.0
2019-01-23,3.52,3.65,3.4,3.62,212470,217375009.0
2019-01-24,3.57,4.36,3.53,4.36,670582,745746144.0
2019-01-25,4.48,5.12,4.29,4.75,579671,679201232.0
2019-01-28,4.78,5.34,4.55,4.76,513299,623125344.0
2019-01-29,4.82,4.89,4.16,4.37,602003,691674016.0
2019-01-30,4.31,4.54,4.15,4.15,389858,443759264.0
2019-01-31,4.22,4.29,3.95,4.11,337181,373822448.0
2019-02-01,4.21,4.75,4.21,4.62,401653,466806400.0
2019-02-11,4.64,4.9,4.48,4.9,392160,464091424.0
2019-02-12,4.79,4.92,4.65,4.73,309271,369293232.0
2019-02-13,4.73,4.96,4.6,4.82,364548,437287088.0
2019-02-14,4.76,5.33,4.6,5.28,567488,705044592.0
2019-02-15,5.17,5.34,4.95,5.02,397075,495026176.0
2019-02-18,5.07,5.47,5.02,5.38,437892,557998368.0
2019-02-19,5.65,5.72,5.14,5.3,417934,536472160.0
2019-02-20,5.36,5.55,5.21,5.44,267343,342129616.0
2019-02-21,5.28,5.8,5.14,5.27,482498,624914944.0
2019-02-22,5.29,5.5,5.05,5.29,432411,547936848.0
2019-02-25,5.47,5.49,5.1,5.45,683547,867706096.0
2019-02-26,5.36,5.36,4.81,4.94,630355,776575312.0
2019-02-27,4.94,4.97,4.15,4.39,681599,786578944.0
2019-02-28,4.35,4.66,4.18,4.33,476387,544228560.0
2019-03-01,4.42,4.44,4.24,4.39,324178,369247280.0
2019-03-04,4.44,4.79,4.35,4.58,544826,638033984.0
2019-03-05,4.5,4.7,4.39,4.7,412148,481282816.0
2019-03-06,4.75,4.89,4.59,4.79,474008,565596592.0
2019-03-07,4.77,4.77,4.42,4.52,462705,542012256.0
2019-03-08,4.34,4.46,3.98,3.98,439958,496279184.0
2019-03-11,4.07,4.77,4.07,4.77,751300,881119472.0
2019-03-12,4.99,5.06,4.73,4.89,636323,774128768.0
2019-03-13,4.93,4.99,4.64,4.79,405316,489466048.0
2019-03-14,4.79,4.97,4.44,4.56,429509,514750736.0
2019-03-15,4.66,5.32,4.66,4.95,560397,690713168.0
2019-03-18,5.03,5.04,4.69,4.92,436042,525744944.0
2019-03-19,4.92,4.93,4.73,4.86,323553,389407360.0
2019-03-20,4.92,4.93,4.41,4.6,390295,459359728.0
2019-03-21,4.54,4.68,4.49,4.56,252737,295821184.0
2019-03-22,4.52,4.52,4.24,4.4,300303,343035984.0
2019-03-25,4.4,4.4,4.19,4.2,234799,265887943.0
2019-03-26,4.32,4.45,4.13,4.23,255711,288850896.0
2019-03-27,4.25,4.46,4.21,4.35,229974,261365552.0
2019-03-28,4.29,4.36,4.13,4.14,227101,254966498.0
2019-03-29,4.06,4.21,3.5,4.06,498629,536754192.0
2019-04-01,4.06,4.85,3.97,4.85,597553,704241232.0
2019-04-02,5.09,5.09,4.84,4.96,745191,913316048.0
2019-04-03,4.87,5.04,4.8,4.95,291983,355760224.0
2019-04-04,4.93,5.07,4.76,4.94,363803,443589376.0
2019-04-08,5.03,5.2,4.63,4.79,373276,453050480.0
2019-04-09,4.66,4.96,4.58,4.74,248862,297923200.0
2019-04-10,4.64,4.77,4.5,4.55,236896,277572128.0
2019-04-11,4.61,4.99,4.46,4.86,484711,580068144.0
2019-04-12,4.79,5.0,4.75,4.91,237975,288541200.0
2019-04-15,5.05,5.1,4.78,4.78,269558,327575936.0
2019-04-16,4.64,5.06,4.38,5.0,388570,465068432.0
2019-04-17,5.07,5.78,4.96,5.55,607075,783271696.0
2019-04-18,5.49,5.89,5.36,5.46,433426,571030160.0
2019-04-19,5.54,5.77,5.36,5.65,265850,349089840.0
2019-04-22,5.68,6.36,5.51,5.54,438140,592424016.0
2019-04-23,5.68,5.9,5.27,5.42,359660,468733504.0
2019-04-24,5.5,5.63,5.17,5.36,295038,378546384.0
2019-04-25,5.47,5.57,4.99,5.07,276440,348633152.0
2019-04-26,4.99,5.22,4.95,4.96,183778,227523021.0
2019-04-29,4.99,5.17,4.5,4.87,263741,317711552.0
2019-04-30,4.92,5.1,4.66,4.72,173945,210297905.0
2019-05-06,4.12,4.56,3.93,4.24,249953,280773056.0
2019-05-07,4.36,4.56,4.15,4.31,199326,227087765.0
2019-05-08,4.16,4.36,4.01,4.08,162201,180766892.0
2019-05-09,4.07,4.13,3.64,3.65,267575,283706432.0
2019-05-10,3.84,4.01,3.41,3.81,438937,459336768.0
2019-05-13,3.64,3.65,3.05,3.05,452744,448384512.0
2019-05-14,2.74,3.33,2.72,3.21,399896,388475776.0
2019-05-15,3.43,3.91,3.35,3.91,475664,494521536.0
2019-05-16,4.07,4.13,3.66,3.71,362295,386077600.0
2019-05-17,3.81,3.81,3.3,3.3,296027,302487888.0
2019-05-20,3.21,3.38,3.1,3.18,246916,242613380.0
2019-05-21,3.22,3.53,3.21,3.3,240264,241161304.0
2019-05-22,3.31,3.53,3.2,3.26,255200,254441701.0
2019-05-23,3.21,3.34,3.0,3.05,270760,261671235.0
2019-05-24,3.08,3.1,2.79,2.88,248931,233742172.0
2019-05-27,3.0,3.26,2.96,3.2,325389,315886912.0
2019-05-28,3.18,3.31,3.07,3.15,215543,210276441.0
2019-05-29,3.08,3.29,3.08,3.13,193699,188365035.0
2019-05-30,3.08,3.1,2.84,3.0,251564,236986249.0
2019-05-31,3.14,3.48,3.07,3.39,569765,567597632.0
2019-06-03,3.35,3.36,3.07,3.09,333174,324797680.0
2019-06-04,3.1,3.23,2.95,3.08,220579,212727109.0
2019-06-05,3.15,3.2,2.99,3.01,157922,151476710.0
2019-06-06,3.0,3.0,2.67,2.68,230447,212681614.0
2019-06-10,2.71,2.85,2.67,2.77,146280,134166443.0
2019-06-11,2.77,2.95,2.22,2.94,465545,418802944.0
2019-06-12,2.85,2.9,2.49,2.52,447112,404675056.0
2019-06-13,2.58,2.8,2.53,2.78,376205,340774448.0
2019-06-14,2.71,2.77,2.45,2.47,308915,274179776.0
2019-06-17,2.47,2.54,2.19,2.28,279225,238148376.0
2019-06-18,2.29,2.38,2.21,2.28,172676,146982051.0
2019-06-19,2.44,2.55,2.4,2.4,251383,220771918.0
2019-06-20,2.35,2.72,2.34,2.62,331862,295558656.0
2019-06-21,2.75,2.9,2.67,2.76,272498,251664362.0
2019-06-24,2.77,2.95,2.73,2.9,263123,245383978.0
2019-06-25,2.92,2.94,2.69,2.77,196962,180900239.0
2019-06-26,2.8,2.95,2.69,2.85,229621,214402567.0
2019-06-27,2.86,3.12,2.82,3.05,286593,272671808.0
2019-06-28,3.07,3.07,2.8,2.93,203320,189480738.0
2019-07-01,3.07,3.19,3.0,3.13,247496,237682111.0
2019-07-02,3.13,3.19,2.94,3.09,255275,243209455.0
2019-07-03,3.07,3.07,2.9,2.95,176089,165568480.0
2019-07-04,2.96,3.05,2.87,2.9,134769,126396606.0
2019-07-05,2.92,3.01,2.87,2.95,97830,91701474.0
2019-07-08,2.95,2.95,2.42,2.49,345223,306533024.0
2019-07-09,2.55,2.84,2.49,2.75,337545,305899632.0
2019-07-10,2.84,2.88,2.64,2.72,136930,124319487.0
2019-07-11,2.74,2.77,2.53,2.58,199294,177772751.0
2019-07-12,2.54,3.22,2.54,3.22,605228,579745296.0
2019-07-15,3.31,3.54,3.16,3.4,672650,665881136.0
2019-07-16,3.38,3.58,3.35,3.5,450717,456179472.0
2019-07-17,3.51,3.57,3.41,3.51,293178,297812448.0
2019-07-18,3.64,3.76,3.48,3.48,402104,412495904.0
2019-07-19,3.54,3.66,3.43,3.43,349975,356658080.0
2019-07-22,3.54,3.68,3.4,3.56,369919,378224288.0
2019-07-23,3.53,3.71,3.4,3.62,387066,397410784.0
2019-07-24,3.61,3.86,3.58,3.79,391569,410215472.0
2019-07-25,3.79,3.91,3.64,3.81,333574,349144368.0
2019-07-26,3.81,3.83,3.67,3.74,209917,220046463.0
2019-07-29,3.71,3.76,3.65,3.72,159157,165771796.0
2019-07-30,3.68,3.81,3.56,3.57,206863,214701174.0
2019-07-31,3.57,3.74,3.55,3.6,183584,190211403.0
2019-08-01,3.54,3.71,3.54,3.61,136041,140628048.0
2019-08-02,3.4,3.66,3.35,3.64,195087,199068811.0
2019-08-05,3.6,4.11,3.58,3.92,345487,370162496.0
2019-08-06,3.76,4.0,3.59,3.79,300127,315478656.0
2019-08-07,3.86,3.89,3.36,3.38,273046,279473216.0
2019-08-08,3.4,3.53,3.29,3.44,177793,178446325.0
2019-08-09,3.48,3.54,3.29,3.4,174064,174796119.0
2019-08-12,3.35,3.55,3.31,3.55,115857,116522265.0
2019-08-13,3.4,3.53,3.4,3.43,89257,89824293.0
2019-08-14,3.54,3.59,3.3,3.33,172010,172348315.0
2019-08-15,3.15,3.54,3.12,3.5,202058,202495978.0
2019-08-16,3.53,3.55,3.4,3.43,158508,159875155.0
2019-08-19,3.46,3.78,3.35,3.77,252218,259593041.0
2019-08-20,3.83,3.83,3.69,3.74,160110,167997920.0
2019-08-21,3.7,4.49,3.7,4.49,263804,296279504.0
2019-08-22,4.83,5.06,4.64,4.94,691607,832020576.0
2019-08-23,5.0,5.2,4.82,4.94,501265,611711104.0
2019-08-26,4.74,5.22,4.74,5.04,471568,578003120.0
2019-08-27,5.04,5.18,4.9,5.04,326085,400375216.0
2019-08-28,5.05,5.32,4.92,5.02,350667,431959120.0
2019-08-29,5.01,5.12,4.87,5.01,288882,354160304.0
