date,股票代码,open,close,high,low,volume,amount,amplitude_pct,pct_chg,change,turnover_rate
2019-01-02,300274,2.55,2.41,2.62,2.32,252629,221068322.0,11.63,-6.59,-0.17,2.37
2019-01-03,300274,2.43,2.27,2.49,2.26,203742,175576198.0,9.54,-5.81,-0.14,1.91
2019-01-04,300274,2.2,2.43,2.5,2.16,230399,199774392.0,14.98,7.05,0.16,2.16
2019-01-07,300274,2.48,2.69,2.84,2.43,297639,269539744.0,16.87,10.7,0.26,2.79
2019-01-08,300274,2.63,2.62,2.73,2.52,169657,152493956.0,7.81,-2.6,-0.07,1.59
2019-01-09,300274,2.64,2.56,2.78,2.44,268205,241102005.0,12.98,-2.29,-0.06,2.52
2019-01-10,300274,2.75,3.03,3.17,2.75,496044,469222976.0,16.41,18.36,0.47,4.65
2019-01-11,300274,2.95,3.0,3.04,2.8,299925,281586912.0,7.92,-0.99,-0.03,2.81
2019-01-14,300274,3.0,2.82,3.0,2.79,237107,221554322.0,7.0,-6.0,-0.18,2.22
2019-01-15,300274,2.82,3.25,3.36,2.77,434224,420237792.0,20.92,15.25,0.43,4.07
2019-01-16,300274,3.25,3.26,3.33,3.16,231687,227828142.0,5.23,0.31,0.01,2.17
2019-01-17,300274,3.27,3.04,3.53,2.96,421188,414480464.0,17.48,-6.75,-0.22,3.95
2019-01-18,300274,3.13,3.5,3.61,2.89,488877,485296624.0,23.68,15.13,0.46,4.59
2019-01-21,300274,3.5,3.63,3.83,3.36,425760,439365648.0,13.43,3.71,0.13,3.99
2019-01-22,300274,3.57,3.58,3.68,3.48,225399,231639447.0,5.51,-1.38,-0.05,2.11
2019-01-23,300274,3.52,3.62,3.65,3.4,212470,217375009.0,6.98,1.12,0.04,1.99
2019-01-24,300274,3.57,4.36,4.36,3.53,670582,745746144.0,22.93,20.44,0.74,6.29
2019-01-25,300274,4.48,4.75,5.12,4.29,579671,679201232.0,19.04,8.94,0.39,5.44
2019-01-28,300274,4.78,4.76,5.34,4.55,513299,623125344.0,16.63,0.21,0.01,4.82
2019-01-29,300274,4.82,4.37,4.89,4.16,602003,691674016.0,15.34,-8.19,-0.39,5.65
2019-01-30,300274,4.31,4.15,4.54,4.15,389858,443759264.0,8.92,-5.03,-0.22,3.66
2019-01-31,300274,4.22,4.11,4.29,3.95,337181,373822448.0,8.19,-0.96,-0.04,3.16
2019-02-01,300274,4.21,4.62,4.75,4.21,401653,466806400.0,13.14,12.41,0.51,3.77
2019-02-11,300274,4.64,4.9,4.9,4.48,392160,464091424.0,9.09,6.06,0.28,3.68
2019-02-12,300274,4.79,4.73,4.92,4.65,309271,369293232.0,5.51,-3.47,-0.17,2.9
2019-02-13,300274,4.73,4.82,4.96,4.6,364548,437287088.0,7.61,1.9,0.09,3.42
2019-02-14,300274,4.76,5.28,5.33,4.6,567488,705044592.0,15.15,9.54,0.46,5.32
2019-02-15,300274,5.17,5.02,5.34,4.95,397075,495026176.0,7.39,-4.92,-0.26,3.73
2019-02-18,300274,5.07,5.38,5.47,5.02,437892,557998368.0,8.96,7.17,0.36,4.11
2019-02-19,300274,5.65,5.3,5.72,5.14,417934,536472160.0,10.78,-1.49,-0.08,3.92
2019-02-20,300274,5.36,5.44,5.55,5.21,267343,342129616.0,6.42,2.64,0.14,2.51
2019-02-21,300274,5.28,5.27,5.8,5.14,482498,624914944.0,12.13,-3.13,-0.17,4.53
2019-02-22,300274,5.29,5.29,5.5,5.05,432411,547936848.0,8.54,0.38,0.02,4.06
2019-02-25,300274,5.47,5.45,5.49,5.1,683547,867706096.0,7.37,3.02,0.16,6.41
2019-02-26,300274,5.36,4.94,5.36,4.81,630355,776575312.0,10.09,-9.36,-0.51,5.91
2019-02-27,300274,4.94,4.39,4.97,4.15,681599,786578944.0,16.6,-11.13,-0.55,6.39
2019-02-28,300274,4.35,4.33,4.66,4.18,476387,544228560.0,10.93,-1.37,-0.06,4.47
2019-03-01,300274,4.42,4.39,4.44,4.24,324178,369247280.0,4.62,1.39,0.06,3.04
2019-03-04,300274,4.44,4.58,4.79,4.35,544826,638033984.0,10.02,4.33,0.19,5.11
2019-03-05,300274,4.5,4.7,4.7,4.39,412148,481282816.0,6.77,2.62,0.12,3.87
2019-03-06,300274,4.75,4.79,4.89,4.59,474008,565596592.0,6.38,1.91,0.09,4.45
2019-03-07,300274,4.77,4.52,4.77,4.42,462705,542012256.0,7.31,-5.64,-0.27,4.34
2019-03-08,300274,4.34,3.98,4.46,3.98,439958,496279184.0,10.62,-11.95,-0.54,4.13
2019-03-11,300274,4.07,4.77,4.77,4.07,751300,881119472.0,17.59,19.85,0.79,7.05
2019-03-12,300274,4.99,4.89,5.06,4.73,636323,774128768.0,6.92,2.52,0.12,5.97
2019-03-13,300274,4.93,4.79,4.99,4.64,405316,489466048.0,7.16,-2.04,-0.1,3.8
2019-03-14,300274,4.79,4.56,4.97,4.44,429509,514750736.0,11.06,-4.8,-0.23,4.03
2019-03-15,300274,4.66,4.95,5.32,4.66,560397,690713168.0,14.47,8.55,0.39,5.26
2019-03-18,300274,5.03,4.92,5.04,4.69,436042,525744944.0,7.07,-0.61,-0.03,4.09
2019-03-19,300274,4.92,4.86,4.93,4.73,323553,389407360.0,4.07,-1.22,-0.06,3.04
2019-03-20,300274,4.92,4.6,4.93,4.41,390295,459359728.0,10.7,-5.35,-0.26,3.66
2019-03-21,300274,4.54,4.56,4.68,4.49,252737,295821184.0,4.13,-0.87,-0.04,2.37
2019-03-22,300274,4.52,4.4,4.52,4.24,300303,343035984.0,6.14,-3.51,-0.16,2.82
2019-03-25,300274,4.4,4.2,4.4,4.19,234799,265887943.0,4.77,-4.55,-0.2,2.2
2019-03-26,300274,4.32,4.23,4.45,4.13,255711,288850896.0,7.62,0.71,0.03,2.4
2019-03-27,300274,4.25,4.35,4.46,4.21,229974,261365552.0,5.91,2.84,0.12,2.16
2019-03-28,300274,4.29,4.14,4.36,4.13,227101,254966498.0,5.29,-4.83,-0.21,2.13
2019-03-29,300274,4.06,4.06,4.21,3.5,498629,536754192.0,17.15,-1.93,-0.08,4.68
2019-04-01,300274,4.06,4.85,4.85,3.97,597553,704241232.0,21.67,19.46,0.79,5.61
2019-04-02,300274,5.09,4.96,5.09,4.84,745191,913316048.0,5.15,2.27,0.11,6.99
2019-04-03,300274,4.87,4.95,5.04,4.8,291983,355760224.0,4.84,-0.2,-0.01,2.74
2019-04-04,300274,4.93,4.94,5.07,4.76,363803,443589376.0,6.26,-0.2,-0.01,3.41
2019-04-08,300274,5.03,4.79,5.2,4.63,373276,453050480.0,11.54,-3.04,-0.15,3.5
2019-04-09,300274,4.66,4.74,4.96,4.58,248862,297923200.0,7.93,-1.04,-0.05,2.33
2019-04-10,300274,4.64,4.55,4.77,4.5,236896,277572128.0,5.7,-4.01,-0.19,2.22
2019-04-11,300274,4.61,4.86,4.99,4.46,484711,580068144.0,11.65,6.81,0.31,4.55
2019-04-12,300274,4.79,4.91,5.0,4.75,237975,288541200.0,5.14,1.03,0.05,2.23
2019-04-15,300274,5.05,4.78,5.1,4.78,269558,327575936.0,6.52,-2.65,-0.13,2.53
2019-04-16,300274,4.64,5.0,5.06,4.38,388570,465068432.0,14.23,4.6,0.22,3.65
2019-04-17,300274,5.07,5.55,5.78,4.96,607075,783271696.0,16.4,11.0,0.55,5.7
2019-04-18,300274,5.49,5.46,5.89,5.36,433426,571030160.0,9.55,-1.62,-0.09,4.07
2019-04-19,300274,5.54,5.65,5.77,5.36,265850,349089840.0,7.51,3.48,0.19,2.49
2019-04-22,300274,5.68,5.54,6.36,5.51,438140,592424016.0,15.04,-1.95,-0.11,4.11
2019-04-23,300274,5.68,5.42,5.9,5.27,359660,468733504.0,11.37,-2.17,-0.12,3.37
2019-04-24,300274,5.5,5.36,5.63,5.17,295038,378546384.0,8.49,-1.11,-0.06,2.77
2019-04-25,300274,5.47,5.07,5.57,4.99,276440,348633152.0,10.82,-5.41,-0.29,2.59
2019-04-26,300274,4.99,4.96,5.22,4.95,183778,227523021.0,5.33,-2.17,-0.11,1.72
2019-04-29,300274,4.99,4.87,5.17,4.5,263741,317711552.0,13.51,-1.81,-0.09,2.47
2019-04-30,300274,4.92,4.72,5.1,4.66,173945,210297905.0,9.03,-3.08,-0.15,1.63
2019-05-06,300274,4.12,4.24,4.56,3.93,249953,280773056.0,13.35,-10.17,-0.48,2.34
2019-05-07,300274,4.36,4.31,4.56,4.15,199326,227087765.0,9.67,1.65,0.07,1.87
2019-05-08,300274,4.16,4.08,4.36,4.01,162201,180766892.0,8.12,-5.34,-0.23,1.52
2019-05-09,300274,4.07,3.65,4.13,3.64,267575,283706432.0,12.01,-10.54,-0.43,2.51
2019-05-10,300274,3.84,3.81,4.01,3.41,438937,459336768.0,16.44,4.38,0.16,4.12
2019-05-13,300274,3.64,3.05,3.65,3.05,452744,448384512.0,15.75,-19.95,-0.76,4.25
2019-05-14,300274,2.74,3.21,3.33,2.72,399896,388475776.0,20.0,5.25,0.16,3.75
2019-05-15,300274,3.43,3.91,3.91,3.35,475664,494521536.0,17.45,21.81,0.7,4.46
2019-05-16,300274,4.07,3.71,4.13,3.66,362295,386077600.0,12.02,-5.12,-0.2,3.4
2019-05-17,300274,3.81,3.3,3.81,3.3,296027,302487888.0,13.75,-11.05,-0.41,2.78
2019-05-20,300274,3.21,3.18,3.38,3.1,246916,242613380.0,8.48,-3.64,-0.12,2.32
2019-05-21,300274,3.22,3.3,3.53,3.21,240264,241161304.0,10.06,3.77,0.12,2.25
2019-05-22,300274,3.31,3.26,3.53,3.2,255200,254441701.0,10.0,-1.21,-0.04,2.39
2019-05-23,300274,3.21,3.05,3.34,3.0,270760,261671235.0,10.43,-6.44,-0.21,2.54
2019-05-24,300274,3.08,2.88,3.1,2.79,248931,233742172.0,10.16,-5.57,-0.17,2.33
2019-05-27,300274,3.0,3.2,3.26,2.96,325389,315886912.0,10.42,11.11,0.32,3.05
2019-05-28,300274,3.18,3.15,3.31,3.07,215543,210276441.0,7.5,-1.56,-0.05,2.02
2019-05-29,300274,3.08,3.13,3.29,3.08,193699,188365035.0,6.67,-0.63,-0.02,1.82
2019-05-30,300274,3.08,3.0,3.1,2.84,251564,236986249.0,8.31,-4.15,-0.13,2.36
2019-05-31,300274,3.14,3.39,3.48,3.07,569765,567597632.0,13.67,13.0,0.39,5.34
