report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-04-18,2019-04-18,319925917.55,307289888.97,5221957151.35,,,
2018-06-30,2018二季度,2018-08-18,2019-08-15,598180544.37,582655688.06,7239684105.26,,,
2018-09-30,2018三季度,2018-10-27,2019-10-25,740402617.21,678450705.47,8926257716.63,,,
2018-12-31,2018四季度,2019-04-18,2020-04-21,360236929.52,340994681.89,6147271301.01,2018746008.65,1909390964.39,27535170274.25
2019-03-31,2019一季度,2019-04-18,2020-04-21,490633349.19,474571143.79,6169013243.41,2189453440.29,2076672219.21,28482226366.31
2019-06-30,2019二季度,2019-08-15,2020-08-08,960072996.42,910969721.26,9955314619.74,2551345892.34,2404986252.41,31197856880.79
2019-09-30,2019三季度,2019-10-25,2020-10-23,792343719.18,700137156.16,11900581245.59,2603286994.31,2426672703.1,34172180409.75
2019-12-31,2019四季度,2020-04-21,2021-04-13,391518763.38,228806690.01,9530209146.96,2634568828.17,2314484711.2200003,37555118255.7
2020-03-31,2020一季度,2020-04-21,2021-04-13,344466430.76,316119847.57,7825137178.03,2488401909.74,2156033415.0,39211242190.32
2020-06-30,2020二季度,2020-08-08,2021-08-18,665992893.5,642933054.92,10913464753.53,2194321806.8199997,1887996748.66,40169392324.11
2020-09-30,2020三季度,2020-10-23,2021-10-26,2322106738.43,953578016.12,12939507273.67,3724084826.07,2141437608.62,41208318352.189995
2020-12-31,2020四季度,2021-04-13,2022-04-26,275357296.87,453490281.93,12522161129.0,3607923359.56,2366121200.54,44200270334.23
2021-03-31,2021一季度,2021-04-13,2022-04-26,847369394.06,796171272.56,10617725141.89,4110826322.86,2846172625.5299997,46992858298.09
2021-06-30,2021二季度,2021-08-18,2022-08-18,2118360648.46,2198386343.02,15944454470.63,5563194077.82,4401625913.629999,52023848015.19
2021-09-30,2021三季度,2021-10-26,2022-10-26,2978968358.78,2936172012.51,20137556711.57,6220055698.17,6384219910.02,59221897453.09
2021-12-31,2021四季度,2022-04-26,2023-04-25,2164426690.1,2470573942.95,18130259759.82,8109125091.400001,8401303571.039999,64829996083.91
2022-03-31,2022一季度,2022-04-26,2023-04-25,5194494567.14,5134900689.19,24685190176.42,12456250264.48,12740032987.67,78897461118.44
2022-06-30,2022二季度,2022-08-18,2023-08-22,7029292140.45,7358044406.71,35654024725.73,17367181756.47,17899691051.36,98607031373.54
2022-09-30,2022三季度,2022-10-26,2023-10-26,9506614023.42,9487789588.89,41744959822.97,23894827421.11,24451308627.74,120214434484.94
2022-12-31,2022四季度,2023-04-25,2024-04-30,4003376288.24,4573968827.95,40338343269.87,25733777019.25,26554703512.74,142422517994.99
2023-03-31,2023一季度,2023-04-25,2024-04-30,8601459571.72,8504187971.06,33244592718.88,29140742023.83,29923990794.61,150981920537.45
2023-06-30,2023二季度,2023-08-22,2024-08-31,4668783176.13,4116120155.25,40823564536.77,26780233059.51,26682066543.15,156151460348.49
2023-09-30,2023三季度,2023-10-26,2024-10-31,3031327672.3,3021302115.64,37352377483.89,20304946708.39,20215579069.9,151758878009.41
2023-12-31,2023四季度,2024-04-30,2025-04-30,-2727670287.78,-2028304712.01,27683527344.98,13573900132.37,13613305529.94,139104062084.52002
2024-03-31,2024一季度,2024-04-30,2025-04-30,-786737334.37,-790179660.91,19570420152.69,4185703226.28,4318937897.970002,125429889518.33
2024-06-30,2024二季度,2024-08-31,2025-08-23,-2342713585.71,-2388277631.03,24226695983.31,-2825793535.56,-2185459888.3099985,108833020964.87
2024-09-30,2024三季度,2024-10-31,2025-10-25,-843806175.83,-859159161.72,24475361167.36,-6700927383.690001,-6065921165.669999,95956004648.34
2024-12-31,2024四季度,2025-04-30,2026-04-30,-3065500296.63,-3019704559.93,23721927030.18,-7038757392.54,-7057321013.589998,91994404333.54
2025-03-31,2025一季度,2025-04-30,2026-04-30,-2592750476.39,-2607694943.81,15933400532.91,-8844770534.56,-8874836296.489998,88357384713.76001
2025-06-30,2025二季度,2025-08-23,2025-08-23,-2362619008.26,-2421107117.02,24575407623.78,-8864675957.11,-8907665782.479998,88706096354.23001
2025-09-30,2025三季度,2025-10-25,2025-10-25,-314795428.36,-442226391.22,24090912049.15,-8335665209.64,-8490733011.979998,88321647236.02
2025-12-31,2025四季度,2026-04-30,2026-04-30,-4283260971.05,-4403527931.91,19528561497.3,-9553425884.06,-9874556383.96,84128281703.14
2026-03-31,2026一季度,2026-04-30,2026-04-30,-2444414900.75,-2559816031.49,12125079698.56,-9405090308.420002,-9826677471.64,80319960868.79
