date,股票代码,open,close,high,low,volume,amount,amplitude_pct,pct_chg,change,turnover_rate
2019-01-02,002466,20.15,19.85,20.32,19.79,140251,409782816.0,2.64,-1.19,-0.24,1.23
2019-01-03,002466,19.61,19.98,20.26,19.61,129811,379313264.0,3.27,0.65,0.13,1.14
2019-01-04,002466,19.69,20.75,20.75,19.61,214609,638540912.0,5.71,3.85,0.77,1.89
2019-01-07,002466,20.89,21.09,21.12,20.54,223126,674162128.0,2.8,1.64,0.34,1.96
2019-01-08,002466,20.92,20.79,21.29,20.69,206098,626775216.0,2.84,-1.42,-0.3,1.81
2019-01-09,002466,20.76,20.18,20.81,19.67,348558,1027896944.0,5.48,-2.93,-0.61,3.07
2019-01-10,002466,20.12,19.99,20.42,19.91,191245,561859520.0,2.53,-0.94,-0.19,1.68
2019-01-11,002466,20.04,20.0,20.17,19.76,169197,492735920.0,2.05,0.05,0.01,1.49
2019-01-14,002466,19.98,19.99,20.28,19.93,110946,324987776.0,1.75,-0.05,-0.01,0.98
2019-01-15,002466,19.96,20.42,20.46,19.7,215303,630639520.0,3.8,2.15,0.43,1.9
2019-01-16,002466,20.37,20.09,20.38,19.95,172866,508302880.0,2.11,-1.62,-0.33,1.52
2019-01-17,002466,20.09,19.8,20.15,19.78,120987,351819632.0,1.84,-1.44,-0.29,1.07
2019-01-18,002466,19.82,20.19,20.24,19.78,197913,580212992.0,2.32,1.97,0.39,1.74
2019-01-21,002466,20.31,20.5,20.71,20.15,225900,673543024.0,2.77,1.54,0.31,1.99
2019-01-22,002466,20.39,20.27,20.84,20.15,198637,592362048.0,3.37,-1.12,-0.23,1.75
2019-01-23,002466,20.08,20.55,20.67,19.95,205799,611703920.0,3.55,1.38,0.28,1.81
2019-01-24,002466,20.45,20.21,20.49,19.99,195440,576631568.0,2.43,-1.65,-0.34,1.72
2019-01-25,002466,20.18,20.16,20.6,19.99,228427,676494256.0,3.02,-0.25,-0.05,2.01
2019-01-28,002466,20.25,19.77,20.41,19.76,195473,571862448.0,3.22,-1.93,-0.39,1.72
2019-01-29,002466,19.45,18.85,19.75,18.55,244217,682864720.0,6.07,-4.65,-0.92,2.15
2019-01-30,002466,18.76,18.82,19.24,18.69,112102,312908224.0,2.92,-0.16,-0.03,0.99
2019-01-31,002466,18.81,18.22,19.12,18.11,190190,519760272.0,5.37,-3.19,-0.6,1.67
2019-02-01,002466,18.3,18.97,18.98,18.3,147097,404180480.0,3.73,4.12,0.75,1.29
2019-02-11,002466,19.07,20.57,20.59,19.07,299566,870825040.0,8.01,8.43,1.6,2.64
2019-02-12,002466,20.53,20.5,20.74,20.16,293468,874405920.0,2.82,-0.34,-0.07,2.58
2019-02-13,002466,20.45,21.84,22.11,20.35,570544,1769134944.0,8.59,6.54,1.34,5.02
2019-02-14,002466,21.88,21.99,22.03,21.34,354663,1117694800.0,3.16,0.69,0.15,3.12
2019-02-15,002466,21.89,21.59,22.65,21.49,317650,1010284992.0,5.28,-1.82,-0.4,2.8
2019-02-18,002466,21.62,22.38,22.45,21.52,353971,1128478000.0,4.31,3.66,0.79,3.12
2019-02-19,002466,22.53,21.92,22.59,21.63,333315,1063652064.0,4.29,-2.06,-0.46,2.93
2019-02-20,002466,21.84,22.65,23.92,21.79,464708,1539832512.0,9.72,3.33,0.73,4.09
2019-02-21,002466,22.73,22.99,23.6,22.45,403373,1333403088.0,5.08,1.5,0.34,3.55
2019-02-22,002466,22.83,23.62,23.66,22.66,345515,1151293584.0,4.35,2.74,0.63,3.04
