date,open,high,low,close,vol,amount
2019-01-02,20.45,20.85,20.05,20.13,43941,326259376.0
2019-01-03,19.49,20.62,19.49,20.22,44949,332238736.0
2019-01-04,19.94,22.12,19.89,21.96,79053,602100016.0
2019-01-07,21.95,22.34,21.59,22.22,59696,460577312.0
2019-01-08,22.1,23.34,22.09,23.28,85750,674107584.0
2019-01-09,21.98,22.65,20.97,22.53,123799,952624096.0
2019-01-10,22.34,22.45,21.44,21.58,83943,644858368.0
2019-01-11,21.76,21.84,20.76,21.03,61367,463701248.0
2019-01-14,21.04,21.61,20.48,21.47,48488,366505968.0
2019-01-15,21.43,22.25,20.79,22.19,58736,448317232.0
2019-01-16,21.93,22.09,21.65,21.8,25739,197749843.0
2019-01-17,21.95,22.37,21.65,21.79,37188,286721584.0
2019-01-18,22.07,22.07,20.32,21.09,65039,488797280.0
2019-01-21,20.89,21.22,20.46,21.0,52412,392168960.0
2019-01-22,20.87,21.24,20.33,20.47,42589,318440032.0
2019-01-23,20.46,21.24,20.32,21.12,48848,367089072.0
2019-01-24,20.87,21.35,20.7,20.97,37984,286305024.0
2019-01-25,21.23,22.98,20.97,22.23,91190,707431984.0
2019-01-28,22.59,22.68,21.44,21.47,46289,355879568.0
2019-01-29,21.57,22.2,20.37,21.8,52363,395374224.0
2019-01-30,20.5,22.18,20.1,21.54,77078,583430176.0
2019-01-31,21.58,22.41,21.45,21.49,44128,339614000.0
2019-02-01,21.8,23.19,21.54,22.76,62144,483480064.0
2019-02-11,23.09,24.42,23.08,24.2,83433,670709808.0
2019-02-12,23.93,24.54,23.67,24.2,49891,402647824.0
2019-02-13,24.09,25.63,23.85,24.59,78772,647619280.0
2019-02-14,24.48,28.58,24.4,26.27,127233,1084873168.0
2019-02-15,26.09,26.98,24.98,24.99,105153,880799440.0
2019-02-18,25.4,26.36,25.07,26.13,87787,735318288.0
2019-02-19,26.24,26.3,24.65,24.92,94258,782086064.0
2019-02-20,25.2,26.15,24.82,25.41,60674,506750848.0
2019-02-21,25.15,26.35,24.93,25.5,82288,690870560.0
2019-02-22,25.32,26.59,24.82,26.08,89600,752183504.0
2019-02-25,26.85,30.13,26.85,29.94,154113,1380347008.0
2019-02-26,29.2,29.65,27.92,28.37,113242,1009210800.0
2019-02-27,27.93,28.87,26.59,27.01,91038,795251088.0
2019-02-28,26.99,28.75,26.99,27.93,72399,637896400.0
2019-03-01,29.82,30.8,28.87,29.22,96193,873963504.0
2019-03-04,30.04,32.07,29.61,30.53,140369,1306102144.0
2019-03-05,30.53,30.86,29.87,30.65,86157,793012160.0
2019-03-06,30.94,31.32,28.86,29.87,104329,949501264.0
2019-03-07,29.68,29.68,27.36,28.03,137071,1210805136.0
2019-03-08,26.98,28.26,26.27,26.41,110697,951944816.0
2019-03-11,26.28,28.19,26.18,28.05,93547,813096544.0
2019-03-12,30.09,31.34,28.77,29.8,147634,1352038768.0
2019-03-13,29.75,29.75,27.93,28.14,75777,674377760.0
2019-03-14,28.08,29.47,27.72,28.62,79826,710913728.0
2019-03-15,29.21,29.98,28.63,29.11,78215,707054560.0
2019-03-18,29.14,29.2,28.04,28.8,72758,646068128.0
2019-03-19,28.73,30.25,28.09,28.43,68170,611077104.0
2019-03-20,28.37,28.37,26.88,27.63,88141,764749344.0
2019-03-21,27.54,28.32,26.95,27.6,81360,707343504.0
2019-03-22,27.6,27.6,26.54,27.3,60190,518360064.0
2019-03-25,28.08,29.53,27.55,28.65,129906,1158349088.0
2019-03-26,28.1,28.37,26.37,26.59,97198,836361952.0
2019-03-27,26.7,27.28,24.93,25.54,94921,795590928.0
2019-03-28,25.5,26.07,24.82,25.43,58572,487897664.0
2019-03-29,25.55,26.43,25.12,26.43,71241,598855280.0
2019-04-01,26.52,27.52,26.43,27.18,92391,794157520.0
2019-04-02,27.18,27.22,26.05,26.42,102413,869961312.0
2019-04-03,26.32,26.54,25.8,26.14,71840,605819184.0
2019-04-04,26.22,26.52,25.87,25.97,66796,564517872.0
2019-04-08,26.27,26.37,24.26,24.92,113770,941060720.0
2019-04-09,26.29,26.57,25.26,25.82,119423,1003599920.0
2019-04-10,25.77,25.77,24.59,24.89,108408,890277776.0
2019-04-11,24.9,25.09,23.97,24.05,89538,728469344.0
2019-04-12,24.16,25.1,24.15,24.75,59357,486028528.0
2019-04-15,25.2,25.32,24.18,24.19,59951,491053136.0
2019-04-16,23.93,24.91,23.85,24.91,57187,464852032.0
2019-04-17,25.59,27.14,25.59,27.04,205005,1752514960.0
2019-04-18,27.05,27.15,26.1,26.23,70618,601487600.0
2019-04-19,26.16,26.42,25.26,25.43,62968,524874432.0
2019-04-22,25.43,25.65,24.22,24.33,66492,543402288.0
2019-04-23,23.93,24.01,20.88,22.63,115259,898901904.0
2019-04-24,22.64,23.57,22.2,23.53,51344,404380496.0
2019-04-25,22.87,24.13,22.59,23.15,52973,422497296.0
2019-04-26,23.09,23.84,23.08,23.29,34918,278261728.0
2019-04-29,24.2,24.41,23.18,23.53,47883,383749264.0
2019-04-30,23.54,23.97,23.18,23.52,31091,248280438.0
2019-05-06,21.91,22.35,20.9,21.26,65431,499354096.0
2019-05-07,21.43,22.22,21.22,21.34,37119,283552912.0
2019-05-08,20.82,21.52,20.15,20.65,34996,261613986.0
2019-05-09,20.32,20.92,19.55,19.59,48134,353504944.0
2019-05-10,20.03,20.59,18.49,20.37,54074,396995568.0
2019-05-13,19.79,19.9,18.79,18.98,46327,334093984.0
2019-05-14,19.16,19.87,19.15,19.29,43330,313815472.0
2019-05-15,19.48,20.95,19.48,20.86,66195,491578064.0
2019-05-16,20.76,20.78,20.26,20.5,37372,277622384.0
2019-05-17,20.71,20.71,19.16,19.34,36003,263549587.0
2019-05-20,18.85,19.25,16.92,17.92,45237,315226944.0
2019-05-21,18.22,18.75,18.03,18.18,31949,225101966.0
2019-05-22,18.49,18.6,17.68,17.74,27824,194769381.0
2019-05-23,17.43,17.68,16.59,16.69,44017,298347376.0
2019-05-24,16.88,17.09,16.42,16.9,29311,198625492.0
2019-05-27,16.98,17.89,16.8,17.65,43690,300432176.0
2019-05-28,17.65,19.14,17.43,19.14,53181,372556048.0
2019-05-29,18.21,18.81,18.12,18.41,32951,232757105.0
2019-05-30,18.37,18.37,17.48,17.99,28726,199994014.0
2019-05-31,18.26,18.35,17.74,17.78,25167,175685319.0
2019-06-03,17.32,17.91,16.98,17.07,32528,223503068.0
2019-06-04,17.2,17.2,16.32,16.35,31667,213131577.0
2019-06-05,16.63,17.73,16.63,17.58,50093,343503184.0
2019-06-06,17.43,17.48,16.24,16.39,37485,252839103.0
2019-06-10,16.9,18.24,16.38,16.76,88452,608130672.0
2019-06-11,14.77,17.5,14.76,17.09,241071,1598113760.0
2019-06-12,16.58,17.82,16.58,17.34,153508,1051599152.0
2019-06-13,17.32,19.35,16.93,18.65,215488,1517836880.0
2019-06-14,18.69,20.42,18.54,19.3,204333,1485468816.0
2019-06-17,19.34,20.22,18.7,19.18,120705,876179728.0
2019-06-18,19.15,19.42,18.32,18.68,81801,582895040.0
2019-06-19,19.75,19.89,17.6,17.92,142815,1005547312.0
2019-06-20,17.92,18.23,17.12,17.57,128161,888389360.0
2019-06-21,18.65,18.65,17.45,17.59,118186,821987072.0
2019-06-24,17.59,17.61,16.93,17.46,66059,452626112.0
2019-06-25,17.45,17.65,16.88,17.44,76388,524726336.0
2019-06-26,17.23,18.4,17.14,18.08,94484,659276528.0
2019-06-27,17.99,18.49,17.79,18.05,109489,766946528.0
2019-06-28,17.48,17.78,16.98,17.47,57212,393261792.0
2019-07-01,18.09,18.65,17.71,18.27,130772,918840416.0
2019-07-02,18.25,19.42,18.07,18.67,162520,1159161872.0
2019-07-03,18.38,19.77,18.25,19.09,221002,1590621264.0
2019-07-04,19.2,19.36,18.4,18.68,80844,575394320.0
2019-07-05,18.7,18.93,18.1,18.69,88937,631207232.0
2019-07-08,18.39,18.39,16.92,17.46,83043,572956112.0
2019-07-09,17.47,18.59,17.26,18.57,96027,671619520.0
2019-07-10,18.7,20.02,18.65,19.34,159315,1152969648.0
2019-07-11,20.04,20.05,19.15,19.44,70673,513699472.0
2019-07-12,19.64,20.44,19.49,20.25,94172,694124848.0
2019-07-15,20.6,20.64,19.76,20.13,112715,831092960.0
2019-07-16,19.99,20.13,18.82,19.66,96070,696256672.0
2019-07-17,19.45,20.23,19.36,19.75,43172,315550240.0
2019-07-18,19.46,19.65,18.83,18.93,45170,324530496.0
2019-07-19,19.04,19.73,18.97,19.48,57359,415492048.0
2019-07-22,19.56,20.17,19.01,19.88,87657,637958000.0
2019-07-23,20.06,22.03,19.63,21.43,164707,1243667024.0
2019-07-24,21.62,22.02,21.17,21.33,119685,911581952.0
2019-07-25,21.34,21.92,21.12,21.4,118401,900265024.0
2019-07-26,21.15,22.49,21.15,21.87,115264,887611744.0
2019-07-29,21.79,22.28,21.51,21.88,70376,539231504.0
2019-07-30,22.01,22.89,21.58,22.48,96459,748447376.0
2019-07-31,22.39,22.39,21.51,21.51,66221,507359968.0
2019-08-01,21.45,22.02,21.11,21.39,67503,512836768.0
2019-08-02,20.39,21.28,20.26,21.11,71660,537012576.0
2019-08-05,20.78,21.06,19.77,19.84,89917,664300304.0
2019-08-06,18.62,19.67,18.46,19.37,84938,606804432.0
2019-08-07,19.56,20.7,19.53,20.02,86049,634607216.0
2019-08-08,20.39,20.49,19.73,19.88,38744,283896688.0
2019-08-09,20.38,20.38,19.01,19.24,47327,342757056.0
2019-08-12,19.18,20.06,19.02,20.04,42536,309047520.0
2019-08-13,19.74,20.56,19.61,20.1,53095,390413488.0
2019-08-14,20.39,21.0,20.12,20.12,63249,469662048.0
2019-08-15,19.26,20.51,19.12,20.49,46222,338674800.0
2019-08-16,20.39,20.51,19.86,19.96,69540,510354144.0
2019-08-19,20.23,21.62,19.96,21.62,105123,788088320.0
