date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2019-01-02,48.08,22783569208.96,473867912,123.4555111,43.94644152
2019-01-03,46.21,21897436213.52,473867912,118.65389285,42.23721012
2019-01-04,49.69,23546496547.28,473867912,127.58952468,45.41802577
2019-01-07,49.22,23323778628.64,473867912,126.38270084,44.98843285
2019-01-08,50.55,23954022951.6,473867912,129.79775554,46.20408941
2019-01-09,48.0,22745659776.0,473867912,123.25009428,43.87331932
2019-01-10,47.13,22333394692.56,473867912,121.01618632,43.07811541
2019-01-11,46.36,21968516400.32,473867912,119.03904939,42.37431424
2019-01-14,46.84,22195972998.08,473867912,120.27155033,42.81304744
2019-01-15,45.94,21769491877.28,473867912,117.96061107,41.9904227
2019-01-16,45.55,21584683391.6,473867912,116.95920405,41.63395198
2019-01-17,46.89,22219666393.68,473867912,120.39993585,42.85874881
2019-01-18,46.82,22186495639.84,473867912,120.22019613,42.79476689
2019-01-21,47.37,22447122991.44,473867912,121.63243679,43.297482
2019-01-22,47.71,22608238081.52,473867912,122.50545829,43.60825135
2019-01-23,49.3,23361688061.6,473867912,126.58811767,45.06155505
2019-01-24,50.23,23802385219.76,473867912,128.97608824,45.91160061
2019-01-25,50.09,23736043712.08,473867912,128.6166088,45.78363677
2019-01-28,48.55,23006287127.6,473867912,124.66233494,44.37603444
2019-01-29,48.68,23067889956.16,473867912,124.99613728,44.49485801
2019-01-30,46.8,22177018281.6,473867912,120.16884192,42.77648634
2019-01-31,46.38,21977993758.56,473867912,119.0904036,42.39259479
2019-02-01,47.59,22551373932.08,473867912,122.19733306,43.49856805
2019-02-11,49.27,23347472024.24,473867912,126.51108636,45.03413423
2019-02-12,51.04,24186218228.48,473867912,131.05593358,46.65196288
2019-02-13,53.1,25162386127.2,473867912,136.3454168,48.5348595
2019-02-14,53.44,25323501217.28,473867912,137.2184383,48.84562884
2019-02-15,51.0,24167263512.0,473867912,130.95322517,46.61540178
2019-02-18,50.96,24148308795.52,473867912,45.06711002,46.57884068
2019-02-19,49.71,23555973905.52,473867912,43.96165697,45.43630632
2019-02-20,50.22,23797646540.64,473867912,44.41268182,45.90246034
2019-02-21,51.25,24285730490.0,473867912,45.32357513,46.84390865
2019-02-22,51.0,24167263512.0,473867912,45.10248452,46.61540178
2019-02-25,54.6,25873187995.2,473867912,48.28618931,49.90590073
2019-02-26,55.84,26460784206.08,473867912,49.38279874,51.03929481
2019-02-27,54.91,26020087047.92,473867912,48.56034167,50.18924925
2019-02-28,56.0,26536603072.0,473867912,49.52429673,51.18553921
2019-03-01,59.0,27958206808.0,473867912,52.17738405,53.92762166
2019-03-04,61.1,28953329423.2,473867912,54.03454518,55.84707938
2019-03-05,61.0,28905942632.0,473867912,53.94610894,55.75567664
2019-03-06,61.0,28905942632.0,473867912,53.94610894,55.75567664
2019-03-07,62.1,29427197335.2,473867912,54.91890762,56.76110687
2019-03-08,62.05,29403503939.6,473867912,54.8746895,56.7154055
2019-03-11,66.2,31370055774.4,473867912,58.54479363,60.50861956
2019-03-12,64.33,30483922778.96,473867912,56.89103587,58.79938816
2019-03-13,62.82,29768382231.84,473867912,55.55564858,57.41920666
2019-03-14,63.68,30175908636.16,473867912,56.31620028,58.2052703
2019-03-15,65.18,30886710504.16,473867912,57.64274394,59.57631153
2019-03-18,64.1,30374933159.2,473867912,56.6876325,58.58916184
2019-03-19,64.65,30635560510.8,473867912,57.17403185,59.09187696
2019-03-20,62.88,29796814306.56,473867912,55.60871033,57.47404831
2019-03-21,62.23,29488800163.76,473867912,55.03387474,56.87993044
2019-03-22,63.3,29995838829.6,473867912,55.98014255,57.85793985
2019-03-25,63.1,29901065247.2,473867912,55.80327006,57.67513436
2019-03-26,61.16,28981761497.92,473867912,54.08760693,55.90192103
2019-03-27,61.32,29057580363.84,473867912,54.22910492,56.04816543
2019-03-28,61.09,28948590744.08,473867912,54.02570155,55.83793911
2019-03-29,60.8,28811169049.6,473867912,53.76923645,55.57287114
2019-04-01,62.17,29460368089.04,473867912,54.98081299,56.82508879
2019-04-02,60.29,28569496414.48,473867912,53.3182116,55.10671712
2019-04-03,57.9,27436952104.8,473867912,51.20458537,52.92219143
2019-04-04,56.59,26816185140.08,473867912,50.04607057,51.72481542
2019-04-08,57.58,27285314372.96,473867912,50.92158938,52.62970263
2019-04-09,56.42,26735627595.04,473867912,49.89572895,51.56943075
2019-04-10,57.6,27294791731.2,473867912,50.93927663,52.64798318
2019-04-11,56.02,26546080430.24,473867912,49.54198398,51.20381976
2019-04-12,56.41,26730888915.92,473867912,49.88688533,51.56029048
2019-04-15,55.51,26304407795.12,473867912,49.09095913,50.73766574
2019-04-16,54.84,25986916294.08,473867912,48.4984363,50.12526732
2019-04-17,58.59,27763920964.08,473867912,51.81479545,53.55287039
2019-04-18,58.49,27716534172.88,473867912,51.72635921,53.46146765
2019-04-19,58.15,27555419082.8,473867912,51.42567598,53.1506983
2019-04-22,56.23,26645592691.76,473867912,49.72770009,51.39576553
2019-04-23,55.3,26204895533.6,473867912,48.90524302,50.54571997
2019-04-24,55.9,26489216280.8,473867912,49.43586048,51.09413646
2019-04-25,54.15,25659947434.8,473867912,47.88822621,49.49458836
2019-04-26,54.4,25778414412.8,473867912,49.72309523,49.72309523
