report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-04-25,2019-05-18,660216685.22,692538161.22,1669013570.84,,,
2018-06-30,2018二季度,2018-08-30,2019-08-23,649173835.43,593175424.97,1620412034.95,,,
2018-09-30,2018三季度,2018-10-24,2019-10-23,379691868.96,357633097.49,1469354090.05,,,
2018-12-31,2018四季度,2019-03-29,2021-06-24,511029793.6,237683952.9,1485640278.86,2200112183.21,1881030636.58,6244419974.7
2019-03-31,2019一季度,2019-04-30,2020-04-29,111294216.99,82132895.91,1337035022.86,1651189714.98,1270625371.27,5912441426.719999
2019-06-30,2019二季度,2019-08-23,2020-08-31,82114804.17,26463428.45,1252504950.92,1084130683.72,703913374.75,5544534342.69
2019-09-30,2019三季度,2019-10-23,2020-10-20,-53920615.55,-93091771.15,1207601333.95,650518199.2099999,253188506.11,5282781586.59
2019-12-31,2019四季度,2020-04-29,2021-06-24,-6122850867.18,-6234903421.89,1043473975.88,-5983362461.570001,-6219398868.68,4840615283.61
2020-03-31,2020一季度,2020-04-29,2021-04-28,-500294446.02,-646858579.51,968428761.08,-6594951124.58,-6948390344.1,4472009021.83
2020-06-30,2020二季度,2020-08-31,2021-08-30,-196270676.2,-78380047.55,910412315.79,-6873336604.950001,-7053233820.1,4129916386.7
2020-09-30,2020三季度,2020-10-20,2021-10-30,-406713476.02,-249035289.98,547943379.82,-7226129465.42,-7209177338.93,3470258432.57
2020-12-31,2020四季度,2021-04-28,2022-04-30,-730487146.63,-320218923.31,812667748.89,-1833765744.87,-1294492840.35,3239452205.58
2021-03-31,2021一季度,2021-04-28,2022-04-30,-247866438.13,-158919170.41,904210248.68,-1581337736.98,-806553431.25,3175233693.18
2021-06-30,2021二季度,2021-08-30,2022-08-31,333663980.11,178266999.51,1446828787.96,-1051403080.6699998,-549906384.19,3711650165.35
2021-09-30,2021三季度,2021-10-30,2022-10-28,444011982.65,-141258301.03,1521679543.7,-200677621.99999988,-442129395.24,4685386329.23
2021-12-31,2021四季度,2022-04-30,2023-03-31,1549047777.81,1455693267.22,3790602361.53,2078857302.44,1333782795.29,7663320941.870001
2022-03-31,2022一季度,2022-04-30,2023-04-29,3327975300.41,2833670495.96,5257158413.95,5654699040.98,4326372461.66,12016269107.14
2022-06-30,2022二季度,2022-08-31,2023-08-31,6999612833.11,6447111518.86,9038412531.6,12320647893.98,10595216981.009998,19607852850.78
2022-09-30,2022三季度,2022-10-28,2023-10-27,5653820646.2,5639467719.29,10350381810.5,17530456557.53,16375943001.33,28436555117.58
2022-12-31,2022四季度,2023-03-31,2024-03-28,8143179944.72,8139188159.38,15802931225.72,24124588724.44,23059437893.49,40448883981.77
2023-03-31,2023一季度,2023-04-29,2024-04-30,4875226485.4,4836318922.0,11448674607.22,25671839909.43,25062086319.53,46640400175.04
2023-06-30,2023二季度,2023-08-31,2024-08-31,1577236011.7,1573538172.28,13374559723.29,20249463088.02,20188512972.95,50976547366.73
2023-09-30,2023三季度,2023-10-27,2024-10-31,1646051259.2,1572484555.67,8575931902.4,16241693701.02,16121529809.33,49202097458.63
2023-12-31,2023四季度,2024-03-28,2025-03-27,-801198782.31,-805813729.71,7104295838.55,7297314973.99,7176527920.24,40503462071.46
2024-03-31,2024一季度,2024-04-30,2025-04-30,-3896784834.74,-3916733916.55,2584634945.21,-1474696346.1499996,-1576524918.3100004,31639422409.449997
2024-06-30,2024二季度,2024-08-31,2025-08-30,-1308984259.44,-1304125951.15,3833943644.75,-4360916617.289999,-4454189041.74,22098806330.909996
2024-09-30,2024三季度,2024-10-31,2025-10-30,-495644270.41,-516039799.650001,3646159930.05,-6502612146.900001,-6542713397.060001,17169034358.56
2024-12-31,2024四季度,2025-03-27,2026-03-28,-2203166930.78,-2185853844.43,2998738496.38,-7904580295.37,-7922753511.780001,13063477016.39
2025-03-31,2025一季度,2025-04-30,2026-04-28,104274617.91,44425496.09,2584202662.39,-3903520842.72,-3961594099.140001,13063044733.57
2025-06-30,2025二季度,2025-08-30,2025-08-30,-19864021.91,-43105491.86,2248478074.59,-2614400605.19,-2700573639.850001,11477579163.41
2025-09-30,2025三季度,2025-10-30,2025-10-30,95485546.6,69955753.16,2564587551.93,-2023270788.18,-2114578087.0399995,10396006785.29
2025-12-31,2025四季度,2026-03-28,2026-03-28,282729309.76,287880453.11,2949096274.36,462625452.36000025,359156210.5,10346364563.27
2026-03-31,2026一季度,2026-04-28,2026-04-28,1876028010.28,1815751653.83,5128047632.11,2234378844.7300005,2130482368.24,12890209532.99
