report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-04-24,2019-04-20,202746899.7,183357378.05,1705529458.0,,,
2018-06-30,2018二季度,2018-08-15,2019-08-15,180226453.05,155699540.97,2189832777.25,,,
2018-09-30,2018三季度,2018-10-27,2019-10-26,224200689.83,189504310.58,1749195917.66,,,
2018-12-31,2018四季度,2019-03-30,2020-04-25,202454159.35,171112350.69,4724373846.38,809628201.9300001,699673580.29,10368931999.29
2019-03-31,2019一季度,2019-04-20,2020-04-29,171195690.05,147884338.56,2219069603.88,778076992.28,664200540.8,10882472145.17
2019-06-30,2019二季度,2019-08-15,2020-08-28,161403065.89,138529272.16,2243390860.38,759253605.12,647030271.99,10936030228.3
2019-09-30,2019三季度,2019-10-26,2020-10-30,221795523.84,177561779.56,2721537651.7,756848439.13,635087740.97,11908371962.34
2019-12-31,2019四季度,2020-04-25,2021-04-27,338158541.42,441397698.85,5819333667.69,892552821.1999999,905373089.13,13003331783.65
2020-03-31,2020一季度,2020-04-29,2021-04-29,159502929.37,146860665.18,1846627232.95,880860060.52,904349415.75,12630889412.72
2020-06-30,2020二季度,2020-08-28,2021-08-28,286628155.94,263856327.95,5095429427.12,1006085150.57,1029676471.54,15482927979.46
2020-09-30,2020三季度,2020-10-30,2021-10-29,749207888.35,673240404.74,4966819659.79,1533497515.08,1525355096.72,17728209987.55
2020-12-31,2020四季度,2021-04-27,2022-04-20,758969271.16,762368704.83,7376765027.16,1954308244.82,1846326102.7,19285641347.02
2021-03-31,2021一季度,2021-04-29,2022-04-20,386719538.98,377919781.81,3346740239.11,2181524854.4300003,2077385219.33,20785754353.18
2021-06-30,2021二季度,2021-08-28,2022-08-27,370258817.97,341797919.45,4863465081.98,2265155516.46,2155326810.83,20553790008.04
2021-09-30,2021三季度,2021-10-29,2022-10-27,747796288.8,732240888.13,7163450542.91,2263743916.91,2214327294.2200003,22750420891.159996
2021-12-31,2021四季度,2022-04-20,2023-04-25,77932729.01,-116456004.13,8762942862.55,1582707374.7600002,1335502585.2600002,24136598726.549995
2022-03-31,2022一季度,2022-04-20,2023-04-25,410913211.59,370528596.97,4567689691.24,1606901047.37,1328111400.42,25357548178.679996
2022-06-30,2022二季度,2022-08-27,2023-08-25,489526979.8,424873966.83,7713545221.55,1726169209.2000003,1411187447.8,28207628318.249996
2022-09-30,2022三季度,2022-10-27,2023-10-28,1160125763.75,1106827682.0,9942702573.53,2138498684.15,1785774241.67,30986880348.87
2022-12-31,2022四季度,2023-04-25,2024-04-23,1532880558.95,1483603562.41,18033301669.02,3593446514.09,3385833808.21,40257239155.34
2023-03-31,2023一季度,2023-04-25,2024-04-23,1507649034.35,1458553118.15,12580349961.26,4690182336.85,4473858329.39,48269899425.36
2023-06-30,2023二季度,2023-08-25,2024-08-24,2846426342.58,2823316713.82,16041874001.06,7047081699.63,6872301076.38,56598228204.869995
2023-09-30,2023三季度,2023-10-28,2024-10-31,2868901117.37,2793225277.35,17792410869.64,8755857053.25,8558698671.73,64447936500.98
2023-12-31,2023四季度,2024-04-23,2025-04-26,2216585305.95,2140508927.45,25836040107.5,9439561800.25,9215604036.77,72250674939.45999
2024-03-31,2024一季度,2024-04-23,2025-04-26,2096318765.89,2083420853.57,12613586133.41,10028231531.79,9840471772.19,72283911111.61
2024-06-30,2024二季度,2024-08-24,2025-08-26,2862754811.21,2798990065.85,18406178869.1,10044560000.42,9816145124.22,74648215979.65
2024-09-30,2024三季度,2024-10-31,2025-10-29,2640479444.59,2497869809.48,18926203508.83,9816138327.64,9520789656.349998,75782008618.84
2024-12-31,2024四季度,2025-04-26,2026-04-01,3436725899.67,3312450848.71,27910998453.29,11036278921.36,10692731577.61,77856966964.63
2025-03-31,2025一季度,2025-04-26,2026-04-28,3826160917.33,3676394413.73,19036447901.21,12766121072.8,12285705137.77,84279828732.43
2025-06-30,2025二季度,2025-08-26,2025-08-26,3908417030.52,3818844203.97,24496676545.97,13811783292.11,13305559275.89,90370326409.3
2025-09-30,2025三季度,2025-10-29,2025-10-29,4146645663.49,3990608267.98,22868784672.38,15317949511.01,14798297734.39,94312907572.85
2025-12-31,2025四季度,2026-04-01,2026-04-01,1580056344.03,1343188796.82,22782448206.21,13461279955.37,12829035682.5,89184357325.77
2026-03-31,2026一季度,2026-04-28,2026-04-28,2291269562.74,2032367774.89,15560645284.03,11926388600.78,11185009043.66,85708554708.59
