date,股票代码,open,close,high,low,volume,amount,amplitude_pct,pct_chg,change,turnover_rate
2019-01-02,300014,6.42,6.46,6.62,6.33,159788,255536965.0,4.56,1.57,0.1,1.95
2019-01-03,300014,6.45,6.53,6.73,6.45,185942,300718080.0,4.33,1.08,0.07,2.27
2019-01-04,300014,6.41,6.46,6.63,6.2,217772,344093520.0,6.58,-1.07,-0.07,2.66
2019-01-07,300014,6.48,6.59,6.6,6.2,229526,362032400.0,6.19,2.01,0.13,2.8
2019-01-08,300014,6.51,7.32,7.44,6.46,455757,780524880.0,14.87,11.08,0.73,5.56
2019-01-09,300014,7.09,6.78,7.09,6.62,443944,738441648.0,6.42,-7.38,-0.54,5.42
2019-01-10,300014,6.79,6.68,6.86,6.57,191744,313324528.0,4.28,-1.47,-0.1,2.34
2019-01-11,300014,6.63,6.65,6.7,6.52,126266,204384480.0,2.69,-0.45,-0.03,1.54
2019-01-14,300014,6.54,6.63,6.76,6.54,89254,145423615.0,3.31,-0.3,-0.02,1.09
2019-01-15,300014,6.56,6.75,6.81,6.56,128985,211278314.0,3.77,1.81,0.12,1.57
2019-01-16,300014,6.75,6.57,6.76,6.53,115843,187462112.0,3.41,-2.67,-0.18,1.41
2019-01-17,300014,6.57,6.26,6.65,6.22,139177,220229149.0,6.54,-4.72,-0.31,1.7
2019-01-18,300014,6.35,6.5,6.54,6.31,136931,217972483.0,3.67,3.83,0.24,1.67
2019-01-21,300014,6.52,6.63,6.64,6.44,120434,193910965.0,3.08,2.0,0.13,1.47
2019-01-22,300014,6.56,6.64,6.93,6.51,180436,296930896.0,6.33,0.15,0.01,2.2
2019-01-23,300014,6.68,6.72,6.82,6.51,147178,240299680.0,4.67,1.2,0.08,1.8
2019-01-24,300014,6.69,6.99,7.18,6.62,294094,495813584.0,8.33,4.02,0.27,3.59
2019-01-25,300014,6.97,7.44,7.76,6.95,369465,654112752.0,11.59,6.44,0.45,4.51
2019-01-28,300014,7.44,7.38,7.74,7.38,201492,360803152.0,4.84,-0.81,-0.06,2.46
2019-01-29,300014,7.47,7.41,7.6,7.25,190484,339133936.0,4.74,0.41,0.03,2.33
2019-01-30,300014,7.34,7.25,7.53,7.25,118545,209231704.0,3.78,-2.16,-0.16,1.45
2019-01-31,300014,7.35,7.18,7.55,7.04,164930,289079184.0,7.03,-0.97,-0.07,2.01
2019-02-01,300014,7.3,7.68,7.81,7.29,218398,396074304.0,7.24,6.96,0.5,2.67
2019-02-11,300014,7.73,8.03,8.11,7.68,224966,420359904.0,5.6,4.56,0.35,2.75
2019-02-12,300014,8.02,8.03,8.17,7.87,147530,278038704.0,3.74,0.0,0.0,1.8
2019-02-13,300014,8.03,7.97,8.11,7.87,183397,344157680.0,2.99,-0.75,-0.06,2.24
2019-02-14,300014,7.93,8.16,8.39,7.83,229930,440458064.0,7.03,2.38,0.19,2.81
2019-02-15,300014,8.07,7.81,8.07,7.77,201236,374357744.0,3.68,-4.29,-0.35,2.46
2019-02-18,300014,7.65,8.09,8.12,7.64,183870,344803424.0,6.15,3.59,0.28,2.24
2019-02-19,300014,8.26,7.91,8.29,7.78,193353,363994816.0,6.3,-2.22,-0.18,2.36
2019-02-20,300014,8.0,7.95,8.23,7.87,161279,304908976.0,4.55,0.51,0.04,1.97
2019-02-21,300014,7.98,7.98,8.26,7.8,222540,421194224.0,5.79,0.38,0.03,2.72
2019-02-22,300014,7.91,8.01,8.06,7.89,163245,306490592.0,2.13,0.38,0.03,1.99
2019-02-25,300014,8.19,8.71,8.79,8.19,373004,737939952.0,7.49,8.74,0.7,4.55
2019-02-26,300014,8.72,8.93,9.48,8.66,360365,755022416.0,9.41,2.53,0.22,4.4
2019-02-27,300014,8.93,8.52,9.24,8.33,253285,511743568.0,10.19,-4.59,-0.41,3.09
2019-02-28,300014,8.65,8.81,8.98,8.51,199621,405472608.0,5.52,3.4,0.29,2.44
2019-03-01,300014,8.78,9.77,9.77,8.62,388149,819763920.0,13.05,10.9,0.96,4.74
2019-03-04,300014,9.81,9.68,10.03,9.46,342866,758297600.0,5.83,-0.92,-0.09,4.19
2019-03-05,300014,9.61,9.86,10.06,9.56,238223,529835280.0,5.17,1.86,0.18,2.91
2019-03-06,300014,9.77,9.86,9.99,9.61,237817,528891920.0,3.85,0.0,0.0,2.9
2019-03-07,300014,10.04,10.34,11.03,10.04,374162,881742736.0,10.04,4.87,0.48,4.57
2019-03-08,300014,9.98,10.08,10.7,9.67,304815,712949408.0,9.96,-2.51,-0.26,3.72
2019-03-11,300014,10.19,11.24,11.24,10.19,379613,915844192.0,10.42,11.51,1.16,4.63
2019-03-12,300014,11.49,11.48,11.56,11.06,369432,923766256.0,4.45,2.14,0.24,4.51
2019-03-13,300014,11.24,11.79,12.4,11.17,367653,966019744.0,10.71,2.7,0.31,4.49
2019-03-14,300014,11.72,11.07,12.59,10.72,425212,1099654432.0,15.86,-6.11,-0.72,5.19
2019-03-15,300014,11.19,10.96,11.31,10.72,253290,622226704.0,5.33,-0.99,-0.11,3.09
2019-03-18,300014,10.5,11.01,11.04,10.08,331820,788975712.0,8.76,0.46,0.05,4.05
2019-03-19,300014,10.89,10.71,10.95,10.65,178160,429142320.0,2.72,-2.72,-0.3,2.17
2019-03-20,300014,10.67,10.52,10.84,10.22,213670,502995040.0,5.79,-1.77,-0.19,2.61
2019-03-21,300014,10.61,10.82,11.08,10.46,265660,641782480.0,5.89,2.85,0.3,3.24
2019-03-22,300014,10.89,10.87,10.94,10.51,168874,406142976.0,3.97,0.46,0.05,2.06
2019-03-25,300014,10.61,10.5,10.87,10.37,215844,511135360.0,4.6,-3.4,-0.37,2.63
2019-03-26,300014,10.5,9.97,10.58,9.65,362142,822686800.0,8.86,-5.05,-0.53,4.42
2019-03-27,300014,10.01,10.1,10.33,9.87,178246,406562096.0,4.61,1.3,0.13,2.18
2019-03-28,300014,10.1,9.9,10.16,9.67,161338,363758672.0,4.85,-1.98,-0.2,1.97
