date,股票代码,open,close,high,low,volume,amount,amplitude_pct,pct_chg,change,turnover_rate
2019-01-02,300750,20.45,20.13,20.85,20.05,43941,326259376.0,3.96,-0.35,-0.07,2.02
2019-01-03,300750,19.49,20.22,20.62,19.49,44949,332238736.0,5.61,0.45,0.09,2.07
2019-01-04,300750,19.94,21.96,22.12,19.89,79053,602100016.0,11.03,8.61,1.74,3.64
2019-01-07,300750,21.95,22.22,22.34,21.59,59696,460577312.0,3.42,1.18,0.26,2.75
2019-01-08,300750,22.1,23.28,23.34,22.09,85750,674107584.0,5.63,4.77,1.06,3.95
2019-01-09,300750,21.98,22.53,22.65,20.97,123799,952624096.0,7.22,-3.22,-0.75,5.7
2019-01-10,300750,22.34,21.58,22.45,21.44,83943,644858368.0,4.48,-4.22,-0.95,3.86
2019-01-11,300750,21.76,21.03,21.84,20.76,61367,463701248.0,5.0,-2.55,-0.55,2.82
2019-01-14,300750,21.04,21.47,21.61,20.48,48488,366505968.0,5.37,2.09,0.44,2.23
2019-01-15,300750,21.43,22.19,22.25,20.79,58736,448317232.0,6.8,3.35,0.72,2.7
2019-01-16,300750,21.93,21.8,22.09,21.65,25739,197749843.0,1.98,-1.76,-0.39,1.18
2019-01-17,300750,21.95,21.79,22.37,21.65,37188,286721584.0,3.3,-0.05,-0.01,1.71
2019-01-18,300750,22.07,21.09,22.07,20.32,65039,488797280.0,8.03,-3.21,-0.7,2.99
2019-01-21,300750,20.89,21.0,21.22,20.46,52412,392168960.0,3.6,-0.43,-0.09,2.41
2019-01-22,300750,20.87,20.47,21.24,20.33,42589,318440032.0,4.33,-2.52,-0.53,1.96
2019-01-23,300750,20.46,21.12,21.24,20.32,48848,367089072.0,4.49,3.18,0.65,2.25
2019-01-24,300750,20.87,20.97,21.35,20.7,37984,286305024.0,3.08,-0.71,-0.15,1.75
2019-01-25,300750,21.23,22.23,22.98,20.97,91190,707431984.0,9.59,6.01,1.26,4.2
2019-01-28,300750,22.59,21.47,22.68,21.44,46289,355879568.0,5.58,-3.42,-0.76,2.13
2019-01-29,300750,21.57,21.8,22.2,20.37,52363,395374224.0,8.52,1.54,0.33,2.41
2019-01-30,300750,20.5,21.54,22.18,20.1,77078,583430176.0,9.54,-1.19,-0.26,3.55
2019-01-31,300750,21.58,21.49,22.41,21.45,44128,339614000.0,4.46,-0.23,-0.05,2.03
2019-02-01,300750,21.8,22.76,23.19,21.54,62144,483480064.0,7.68,5.91,1.27,2.86
2019-02-11,300750,23.09,24.2,24.42,23.08,83433,670709808.0,5.89,6.33,1.44,3.84
2019-02-12,300750,23.93,24.2,24.54,23.67,49891,402647824.0,3.6,0.0,0.0,2.3
2019-02-13,300750,24.09,24.59,25.63,23.85,78772,647619280.0,7.36,1.61,0.39,3.63
2019-02-14,300750,24.48,26.27,28.58,24.4,127233,1084873168.0,17.0,6.83,1.68,5.86
2019-02-15,300750,26.09,24.99,26.98,24.98,105153,880799440.0,7.61,-4.87,-1.28,4.84
2019-02-18,300750,25.4,26.13,26.36,25.07,87787,735318288.0,5.16,4.56,1.14,4.04
2019-02-19,300750,26.24,24.92,26.3,24.65,94258,782086064.0,6.31,-4.63,-1.21,4.34
2019-02-20,300750,25.2,25.41,26.15,24.82,60674,506750848.0,5.34,1.97,0.49,2.79
2019-02-21,300750,25.15,25.5,26.35,24.93,82288,690870560.0,5.59,0.35,0.09,3.79
2019-02-22,300750,25.32,26.08,26.59,24.82,89600,752183504.0,6.94,2.27,0.58,4.12
2019-02-25,300750,26.85,29.94,30.13,26.85,154113,1380347008.0,12.58,14.8,3.86,7.09
2019-02-26,300750,29.2,28.37,29.65,27.92,113242,1009210800.0,5.78,-5.24,-1.57,5.21
2019-02-27,300750,27.93,27.01,28.87,26.59,91038,795251088.0,8.04,-4.79,-1.36,4.19
2019-02-28,300750,26.99,27.93,28.75,26.99,72399,637896400.0,6.52,3.41,0.92,3.33
2019-03-01,300750,29.82,29.22,30.8,28.87,96193,873963504.0,6.91,4.62,1.29,4.43
2019-03-04,300750,30.04,30.53,32.07,29.61,140369,1306102144.0,8.42,4.48,1.31,6.46
2019-03-05,300750,30.53,30.65,30.86,29.87,86157,793012160.0,3.24,0.39,0.12,3.97
2019-03-06,300750,30.94,29.87,31.32,28.86,104329,949501264.0,8.03,-2.54,-0.78,4.8
2019-03-07,300750,29.68,28.03,29.68,27.36,137071,1210805136.0,7.77,-6.16,-1.84,6.31
2019-03-08,300750,26.98,26.41,28.26,26.27,110697,951944816.0,7.1,-5.78,-1.62,5.1
2019-03-11,300750,26.28,28.05,28.19,26.18,93547,813096544.0,7.61,6.21,1.64,4.31
2019-03-12,300750,30.09,29.8,31.34,28.77,147634,1352038768.0,9.16,6.24,1.75,6.8
2019-03-13,300750,29.75,28.14,29.75,27.93,75777,674377760.0,6.11,-5.57,-1.66,3.49
2019-03-14,300750,28.08,28.62,29.47,27.72,79826,710913728.0,6.22,1.71,0.48,3.67
2019-03-15,300750,29.21,29.11,29.98,28.63,78215,707054560.0,4.72,1.71,0.49,3.6
2019-03-18,300750,29.14,28.8,29.2,28.04,72758,646068128.0,3.98,-1.06,-0.31,3.35
2019-03-19,300750,28.73,28.43,30.25,28.09,68170,611077104.0,7.5,-1.28,-0.37,3.14
2019-03-20,300750,28.37,27.63,28.37,26.88,88141,764749344.0,5.24,-2.81,-0.8,4.06
2019-03-21,300750,27.54,27.6,28.32,26.95,81360,707343504.0,4.96,-0.11,-0.03,3.75
2019-03-22,300750,27.6,27.3,27.6,26.54,60190,518360064.0,3.84,-1.09,-0.3,2.77
2019-03-25,300750,28.08,28.65,29.53,27.55,129906,1158349088.0,7.25,4.95,1.35,5.98
2019-03-26,300750,28.1,26.59,28.37,26.37,97198,836361952.0,6.98,-7.19,-2.06,4.47
2019-03-27,300750,26.7,25.54,27.28,24.93,94921,795590928.0,8.84,-3.95,-1.05,4.37
2019-03-28,300750,25.5,25.43,26.07,24.82,58572,487897664.0,4.89,-0.43,-0.11,2.7
2019-03-29,300750,25.55,26.43,26.43,25.12,71241,598855280.0,5.15,3.93,1.0,3.28
2019-04-01,300750,26.52,27.18,27.52,26.43,92391,794157520.0,4.12,2.84,0.75,4.25
2019-04-02,300750,27.18,26.42,27.22,26.05,102413,869961312.0,4.3,-2.8,-0.76,4.71
2019-04-03,300750,26.32,26.14,26.54,25.8,71840,605819184.0,2.8,-1.06,-0.28,3.31
2019-04-04,300750,26.22,25.97,26.52,25.87,66796,564517872.0,2.49,-0.65,-0.17,3.07
2019-04-08,300750,26.27,24.92,26.37,24.26,113770,941060720.0,8.12,-4.04,-1.05,5.24
2019-04-09,300750,26.29,25.82,26.57,25.26,119423,1003599920.0,5.26,3.61,0.9,5.5
2019-04-10,300750,25.77,24.89,25.77,24.59,108408,890277776.0,4.57,-3.6,-0.93,4.99
2019-04-11,300750,24.9,24.05,25.09,23.97,89538,728469344.0,4.5,-3.37,-0.84,4.12
