date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2019-01-02,73.66,161684981684.0,2195017400,42.7748487,47.73643372
2019-01-03,73.83,162058134642.0,2195017400,42.87356882,47.84660469
2019-01-04,76.96,168928539104.0,2195017400,44.6911805,49.87504668
2019-01-07,77.42,169938247108.0,2195017400,44.95830554,50.17315637
2019-01-08,79.33,174130730342.0,2195017400,46.06745516,51.41095963
2019-01-09,77.98,171167456852.0,2195017400,45.28350124,50.53607251
2019-01-10,76.28,167435927272.0,2195017400,44.29630001,49.4343628
2019-01-11,75.29,165262860046.0,2195017400,43.72140047,48.79277891
2019-01-14,76.08,166996923792.0,2195017400,44.18015869,49.30474989
2019-01-15,77.37,169828496238.0,2195017400,44.92927021,50.14075314
2019-01-16,76.67,168291984058.0,2195017400,44.52277559,49.68710797
2019-01-17,76.66,168270033884.0,2195017400,44.51696852,49.68062732
2019-01-18,75.4,165504311960.0,2195017400,43.7852782,48.86406601
2019-01-21,75.24,165153109176.0,2195017400,43.69236514,48.76037568
2019-01-22,74.27,163023942298.0,2195017400,43.12907973,48.13175308
2019-01-23,75.44,165592112656.0,2195017400,43.80850646,48.88998859
2019-01-24,75.17,164999457958.0,2195017400,43.65171568,48.71501117
2019-01-25,77.44,169982147456.0,2195017400,44.96991968,50.18611766
2019-01-28,76.07,166974973618.0,2195017400,44.17435162,49.29826925
2019-01-29,76.68,168313934232.0,2195017400,44.52858265,49.69358861
2019-01-30,76.2,167260325880.0,2195017400,44.24984348,49.38251764
2019-01-31,76.12,167084724488.0,2195017400,44.20338695,49.33067247
2019-02-01,78.4,172089364160.0,2195017400,45.52739802,50.80825962
2019-02-11,81.0,177796409400.0,2195017400,47.0372352,52.49322741
2019-02-12,81.0,177796409400.0,2195017400,47.0372352,52.49322741
2019-02-13,81.7,179332921580.0,2195017400,47.44372982,52.94687259
2019-02-14,84.72,185961874128.0,2195017400,49.19746378,54.90402748
2019-02-15,82.42,180913334108.0,2195017400,47.86183858,53.41347905
2019-02-18,84.46,185391169604.0,2195017400,49.04648006,54.7355307
2019-02-19,82.29,180627981846.0,2195017400,47.78634672,53.32923066
2019-02-20,83.17,182559597158.0,2195017400,48.29736854,53.89952745
2019-02-21,83.33,182910799942.0,2195017400,48.39028159,54.00321778
2019-02-22,84.37,185193618038.0,2195017400,48.99421646,54.6772049
2019-02-25,91.32,200448988968.0,2195017400,53.03012739,59.18125342
2019-02-26,88.5,194259039900.0,2195017400,51.39253475,57.35371143
2019-02-27,86.05,188881247270.0,2195017400,49.96980356,55.76595332
2019-02-28,87.7,192503025980.0,2195017400,53.78957257,56.8352598
2019-03-01,90.03,197617416522.0,2195017400,55.21864559,58.34525017
2019-03-04,92.39,202797657586.0,2195017400,56.6661187,59.87468247
2019-03-05,92.6,203258611240.0,2195017400,56.79491927,60.01077603
2019-03-06,91.2,200185586880.0,2195017400,55.93624878,59.10348568
2019-03-07,87.89,192920079286.0,2195017400,53.90610642,56.95839206
2019-03-08,84.97,186510628478.0,2195017400,52.11516512,55.06604362
2019-03-11,87.92,192985929808.0,2195017400,53.9245065,56.977834
2019-03-12,91.07,199900234618.0,2195017400,55.8565151,59.01923729
2019-03-13,88.08,193337132592.0,2195017400,54.02264027,57.08152432
2019-03-14,88.95,195246797730.0,2195017400,54.55624265,57.64534047
2019-03-15,89.83,197178413042.0,2195017400,55.09597838,58.21563726
2019-03-18,89.28,195971153472.0,2195017400,54.75864355,57.85920177
2019-03-19,88.6,194478541640.0,2195017400,54.34157503,57.41851788
2019-03-20,87.17,191339666758.0,2195017400,53.46450446,56.4917856
2019-03-21,87.12,191229915888.0,2195017400,53.43383765,56.45938237
2019-03-22,86.58,190044606492.0,2195017400,53.10263618,56.10942752
2019-03-25,89.0,195356548600.0,2195017400,54.58690945,57.6777437
2019-03-26,85.3,187234984220.0,2195017400,52.31756602,55.27990491
2019-03-27,83.41,183086401334.0,2195017400,51.15836087,54.05506294
