date,open,high,low,close,vol,amount
2019-01-02,20.15,20.32,19.79,19.85,140251,409782816.0
2019-01-03,19.61,20.26,19.61,19.98,129811,379313264.0
2019-01-04,19.69,20.75,19.61,20.75,214609,638540912.0
2019-01-07,20.89,21.12,20.54,21.09,223126,674162128.0
2019-01-08,20.92,21.29,20.69,20.79,206098,626775216.0
2019-01-09,20.76,20.81,19.67,20.18,348558,1027896944.0
2019-01-10,20.12,20.42,19.91,19.99,191245,561859520.0
2019-01-11,20.04,20.17,19.76,20.0,169197,492735920.0
2019-01-14,19.98,20.28,19.93,19.99,110946,324987776.0
2019-01-15,19.96,20.46,19.7,20.42,215303,630639520.0
2019-01-16,20.37,20.38,19.95,20.09,172866,508302880.0
2019-01-17,20.09,20.15,19.78,19.8,120987,351819632.0
2019-01-18,19.82,20.24,19.78,20.19,197913,580212992.0
2019-01-21,20.31,20.71,20.15,20.5,225900,673543024.0
2019-01-22,20.39,20.84,20.15,20.27,198637,592362048.0
2019-01-23,20.08,20.67,19.95,20.55,205799,611703920.0
2019-01-24,20.45,20.49,19.99,20.21,195440,576631568.0
2019-01-25,20.18,20.6,19.99,20.16,228427,676494256.0
2019-01-28,20.25,20.41,19.76,19.77,195473,571862448.0
2019-01-29,19.45,19.75,18.55,18.85,244217,682864720.0
2019-01-30,18.76,19.24,18.69,18.82,112102,312908224.0
2019-01-31,18.81,19.12,18.11,18.22,190190,519760272.0
2019-02-01,18.3,18.98,18.3,18.97,147097,404180480.0
2019-02-11,19.07,20.59,19.07,20.57,299566,870825040.0
2019-02-12,20.53,20.74,20.16,20.5,293468,874405920.0
2019-02-13,20.45,22.11,20.35,21.84,570544,1769134944.0
2019-02-14,21.88,22.03,21.34,21.99,354663,1117694800.0
2019-02-15,21.89,22.65,21.49,21.59,317650,1010284992.0
2019-02-18,21.62,22.45,21.52,22.38,353971,1128478000.0
2019-02-19,22.53,22.59,21.63,21.92,333315,1063652064.0
2019-02-20,21.84,23.92,21.79,22.65,464708,1539832512.0
2019-02-21,22.73,23.6,22.45,22.99,403373,1333403088.0
2019-02-22,22.83,23.66,22.66,23.62,345515,1151293584.0
2019-02-25,23.99,26.18,23.99,26.09,572451,2044697840.0
2019-02-26,26.09,28.21,25.15,26.67,664868,2520375264.0
2019-02-27,26.15,27.13,25.13,25.69,495058,1833861360.0
2019-02-28,25.69,26.5,25.65,26.08,294817,1094502368.0
2019-03-01,26.12,26.35,25.45,26.15,236720,873072864.0
2019-03-04,26.22,27.69,25.86,26.29,501545,1897234640.0
2019-03-05,25.99,26.42,25.61,26.42,358728,1327193168.0
2019-03-06,26.41,27.59,26.41,27.22,515169,1977000224.0
2019-03-07,26.99,27.96,26.58,27.07,425221,1639636656.0
2019-03-08,26.3,26.38,24.61,24.73,479326,1748824800.0
2019-03-11,24.52,25.76,24.52,25.68,309332,1115398576.0
2019-03-12,25.98,26.35,25.35,25.79,329236,1214074640.0
2019-03-13,25.72,27.35,25.45,27.0,599839,2268158416.0
2019-03-14,26.72,28.28,26.45,27.41,717102,2805468256.0
2019-03-15,27.84,27.85,26.67,27.2,420358,1617681920.0
2019-03-18,27.29,28.09,27.19,27.52,365955,1427305840.0
2019-03-19,27.61,27.79,26.78,27.3,288418,1109381776.0
2019-03-20,26.97,26.97,26.18,26.53,264959,998702608.0
2019-03-21,26.61,27.05,26.46,26.62,210800,799593248.0
2019-03-22,26.62,26.8,25.63,25.98,264163,978716320.0
2019-03-25,25.49,25.98,25.29,25.43,183025,668834032.0
2019-03-26,25.57,25.95,25.28,25.31,183948,670247216.0
2019-03-27,25.24,25.89,23.74,24.36,370076,1306919840.0
2019-03-28,24.17,24.58,23.76,24.03,193712,669982160.0
2019-03-29,23.53,24.67,23.07,24.58,383028,1310520896.0
2019-04-01,24.69,25.92,24.69,25.68,358083,1298789136.0
2019-04-02,25.93,26.84,25.23,26.25,404965,1494553520.0
2019-04-03,25.97,26.42,25.57,26.19,252886,939769744.0
2019-04-04,26.22,26.95,26.22,26.33,324714,1225523600.0
2019-04-08,27.22,27.47,26.31,26.65,382795,1453652720.0
2019-04-09,26.65,26.72,25.72,26.0,223095,826670384.0
2019-04-10,25.92,25.95,25.45,25.75,190629,697476832.0
2019-04-11,25.75,26.63,25.69,25.85,279895,1043568624.0
2019-04-12,24.99,24.99,23.77,24.32,328832,1149721792.0
2019-04-15,24.62,24.8,23.88,23.9,243407,847384400.0
2019-04-16,23.69,24.59,23.57,24.54,201392,698013232.0
2019-04-17,24.54,25.49,24.54,25.22,301162,1083110928.0
2019-04-18,25.35,25.35,24.67,24.79,146384,521466624.0
2019-04-19,24.72,24.86,24.09,24.52,157127,548900896.0
2019-04-22,24.68,24.72,24.15,24.22,122256,425456128.0
2019-04-23,24.13,24.38,23.84,24.18,130576,450782752.0
2019-04-24,23.92,24.13,23.34,23.7,207054,704012512.0
2019-04-25,23.57,23.84,23.09,23.12,139265,468831312.0
2019-04-26,23.08,23.22,22.38,22.39,170405,557977712.0
2019-04-29,22.34,22.49,20.65,21.18,222538,691490896.0
2019-04-30,19.45,20.46,19.17,20.32,241529,708449168.0
2019-05-06,19.45,20.61,19.07,19.32,237300,685504272.0
2019-05-07,19.57,20.06,19.32,19.63,159673,460517888.0
2019-05-08,19.36,19.61,19.13,19.33,124688,354037120.0
2019-05-09,19.23,19.45,18.76,18.85,157782,442280432.0
2019-05-10,19.07,19.47,18.45,19.45,180350,508490352.0
2019-05-13,19.26,19.75,19.06,19.32,126041,358323328.0
2019-05-14,19.06,19.35,18.98,19.11,95341,267841820.0
2019-05-15,19.35,19.42,19.12,19.32,102672,290078224.0
2019-05-16,19.29,20.08,19.22,19.84,200349,579825840.0
2019-05-17,19.92,19.96,18.87,18.96,161797,457218544.0
2019-05-20,18.83,19.18,18.3,19.01,110100,302742384.0
2019-05-21,18.99,19.65,18.77,19.38,120803,342351280.0
2019-05-22,19.38,19.49,18.99,19.03,88178,248113367.0
2019-05-23,19.05,19.06,18.3,18.4,120838,330574432.0
2019-05-24,18.3,18.53,18.22,18.29,78636,212947446.0
2019-05-27,18.35,18.84,18.31,18.74,95550,261832328.0
2019-05-28,18.74,19.15,18.56,18.69,116268,322183424.0
2019-05-29,18.61,19.02,18.55,18.7,93526,258578696.0
2019-05-30,18.67,19.34,18.48,19.23,200840,560102272.0
2019-05-31,18.99,19.21,18.84,18.88,112308,313372416.0
2019-06-03,18.89,18.95,18.34,18.37,104604,285430336.0
2019-06-04,18.37,18.49,17.92,18.02,106449,285038288.0
2019-06-05,18.16,18.39,17.95,17.98,78893,211224513.0
2019-06-06,18.01,18.04,16.92,17.09,139030,358067328.0
2019-06-10,17.29,17.59,17.15,17.53,92787,239494458.0
2019-06-11,17.52,18.07,17.42,17.99,135561,357820032.0
2019-06-12,17.95,18.45,17.8,17.89,124875,333536496.0
2019-06-13,17.91,18.07,17.64,17.9,92334,243882439.0
2019-06-14,17.98,18.05,17.42,17.46,104283,273358464.0
2019-06-17,17.38,17.66,17.27,17.4,49626,128507947.0
2019-06-18,17.45,17.48,17.15,17.22,67578,173125008.0
2019-06-19,17.69,17.82,17.31,17.33,90688,234126564.0
2019-06-20,17.37,17.58,16.94,17.45,165266,421888640.0
2019-06-21,17.44,17.92,17.44,17.65,153401,399496128.0
2019-06-24,17.66,17.84,17.56,17.69,97645,254154185.0
2019-06-25,17.81,17.81,17.07,17.31,107405,274911696.0
2019-06-26,17.12,17.74,17.12,17.47,98748,254134811.0
2019-06-27,17.38,17.63,17.29,17.32,116034,298089984.0
2019-06-28,17.36,17.4,17.02,17.12,84689,214310764.0
2019-07-01,17.45,17.85,17.34,17.82,207187,537087056.0
2019-07-02,17.87,19.17,17.74,19.04,433028,1180166432.0
2019-07-03,18.87,19.04,18.55,18.69,231641,634095184.0
2019-07-04,18.61,18.79,18.35,18.53,136283,370396592.0
2019-07-05,18.53,18.73,18.44,18.47,86236,234121269.0
2019-07-08,18.5,18.53,17.54,17.65,134490,352839024.0
2019-07-09,17.52,18.13,17.46,17.99,104603,274556560.0
2019-07-10,18.02,18.09,17.68,17.73,64435,168950981.0
2019-07-11,17.82,18.12,17.65,17.71,78520,206257695.0
2019-07-12,17.71,18.09,17.71,17.8,65842,172933906.0
2019-07-15,17.67,17.79,17.15,17.63,99943,257583874.0
2019-07-16,17.45,17.68,17.4,17.42,71981,185250754.0
2019-07-17,17.42,17.55,17.22,17.42,52616,135108277.0
2019-07-18,17.39,17.56,17.24,17.24,66951,171249990.0
2019-07-19,17.23,17.58,17.19,17.21,75659,193830759.0
2019-07-22,17.41,17.41,15.99,16.07,200383,487771824.0
2019-07-23,16.13,16.21,15.94,16.09,76558,183353321.0
2019-07-24,16.13,16.43,16.05,16.19,90873,219191298.0
2019-07-25,16.19,16.19,15.22,15.49,225459,525976896.0
2019-07-26,15.29,15.89,15.29,15.84,140247,328011872.0
2019-07-29,15.82,15.83,15.56,15.64,80048,187301858.0
2019-07-30,15.64,15.9,15.64,15.68,105141,247401592.0
2019-07-31,15.68,15.72,15.31,15.59,104691,242535250.0
2019-08-01,15.36,17.21,15.35,16.99,500384,1237021264.0
2019-08-02,16.57,17.4,16.57,16.99,420246,1059646624.0
2019-08-05,16.78,16.89,16.1,16.25,247755,604095600.0
2019-08-06,15.7,16.09,15.29,15.36,261946,608765280.0
2019-08-07,16.35,16.64,15.85,16.42,368040,888554368.0
2019-08-08,16.6,16.69,15.77,16.01,217325,520635568.0
2019-08-09,16.03,16.31,15.65,15.76,143531,341149312.0
2019-08-12,15.79,15.84,15.38,15.77,118963,276885728.0
2019-08-13,15.59,15.72,15.45,15.54,89922,209162591.0
2019-08-14,15.75,16.0,15.54,15.73,149017,350321840.0
2019-08-15,15.35,15.61,15.25,15.57,124633,287542112.0
2019-08-16,15.52,16.02,15.48,15.7,135139,318460640.0
2019-08-19,15.85,16.12,15.55,16.07,213207,503731824.0
2019-08-20,16.02,16.49,15.95,16.02,195588,470562272.0
2019-08-21,15.98,15.98,15.56,15.59,172490,403972800.0
2019-08-22,15.6,16.19,15.57,16.15,241410,572659712.0
2019-08-23,15.96,16.02,15.54,15.59,244093,572115424.0
2019-08-26,15.22,15.69,15.17,15.42,130977,302175056.0
2019-08-27,15.53,15.69,15.42,15.55,130926,304235536.0
2019-08-28,15.66,15.69,15.42,15.49,91709,212927726.0
2019-08-29,15.55,15.59,15.43,15.47,87212,202173913.0
2019-08-30,15.55,15.58,15.29,15.32,120908,278683136.0
2019-09-02,15.48,16.04,15.38,15.82,214467,505825808.0
2019-09-03,15.76,15.88,15.57,15.7,150065,351712096.0
2019-09-04,15.65,16.02,15.52,15.98,276779,652690800.0
2019-09-05,15.95,16.39,15.9,16.08,311049,748713296.0
2019-09-06,16.19,16.19,15.82,15.92,177577,422230864.0
2019-09-09,16.0,16.43,15.9,16.39,293284,707076896.0
2019-09-10,16.34,17.08,16.22,17.0,421982,1053122064.0
2019-09-11,17.15,17.49,16.71,16.74,312980,788331424.0
2019-09-12,16.9,16.94,16.53,16.75,160240,396609040.0
2019-09-16,16.9,17.35,16.9,17.05,233296,589306160.0
2019-09-17,16.92,16.92,16.23,16.4,183308,449625872.0
2019-09-18,16.4,16.55,16.28,16.47,114609,279404304.0
2019-09-19,16.55,17.81,16.55,17.71,494392,1261017648.0
2019-09-20,17.77,18.02,17.46,17.98,362370,945189472.0
2019-09-23,17.82,18.58,17.59,18.06,410965,1094173136.0
2019-09-24,18.05,18.28,17.72,17.88,267902,707192688.0
2019-09-25,18.12,19.9,17.67,19.89,671248,1864957248.0
2019-09-26,19.58,20.05,18.95,19.27,644931,1827879744.0
2019-09-27,19.32,19.53,18.38,18.59,450331,1239457488.0
2019-09-30,18.44,19.35,18.37,18.59,351808,970633200.0
2019-10-08,18.5,19.15,18.06,18.75,248783,680315024.0
2019-10-09,18.59,18.59,17.68,18.06,257279,680852528.0
2019-10-10,18.43,18.58,17.94,18.39,244115,653229104.0
2019-10-11,18.38,18.38,17.69,17.71,240157,630576656.0
2019-10-14,17.82,18.24,17.78,18.09,188613,499637264.0
2019-10-15,17.42,17.63,16.82,16.92,346280,874095968.0
2019-10-16,16.85,17.15,16.76,16.89,133094,333673920.0
2019-10-17,17.01,17.5,16.95,17.3,160621,409638496.0
2019-10-18,17.22,18.1,17.01,17.73,244196,628510128.0
2019-10-21,17.59,18.01,17.46,17.69,149487,390393488.0
2019-10-22,17.78,17.82,17.41,17.58,123528,319424752.0
2019-10-23,17.32,17.46,16.91,16.92,143962,362513984.0
2019-10-24,16.93,17.67,16.93,17.48,167144,429500592.0
2019-10-25,17.43,17.83,17.09,17.65,147377,381841456.0
2019-10-28,17.65,18.15,17.18,17.84,221458,579619936.0
2019-10-29,17.81,17.98,17.37,17.51,161386,418680688.0
2019-10-30,17.39,17.67,17.17,17.19,104770,268482928.0
2019-10-31,17.29,17.29,16.9,17.02,113496,285806224.0
2019-11-01,17.02,17.49,16.81,17.35,118190,299685184.0
2019-11-04,17.58,18.95,17.45,18.66,419791,1128666032.0
2019-11-05,18.7,20.05,18.52,19.23,443126,1239557680.0
2019-11-06,19.55,20.49,19.55,19.99,554451,1611345664.0
2019-11-07,19.7,19.75,19.02,19.24,364086,1025858896.0
2019-11-08,19.67,19.81,19.03,19.49,311746,882664624.0
2019-11-11,19.21,19.55,18.7,18.76,208956,579422240.0
2019-11-12,18.82,19.17,18.65,18.92,172604,476216656.0
2019-11-13,18.67,18.67,18.21,18.48,169143,455945184.0
